latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.572935,80.02519,5.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,77,87,64,27.6,21.8,28.5,32.5,24.6,24.9,0.00,0.00,3
2007-01-02,73,86,55,28.9,22.8,29.1,32.9,25.7,25.9,0.00,0.00,3
2007-01-03,69,81,51,29.7,22.5,28.3,33.9,23.7,25.7,0.00,0.00,2
2007-01-04,67,80,49,29.1,21.9,27.3,31.9,23.1,25.4,0.00,0.00,3
2007-01-05,68,82,46,29.4,22.2,27.7,31.6,24.0,25.4,0.00,0.00,2
2007-01-06,72,88,54,28.8,21.9,28.4,33.9,23.9,25.3,0.00,0.00,3
2007-01-07,72,81,53,29.6,23.1,28.7,33.2,24.9,25.9,0.10,0.10,51
2007-01-08,75,85,60,29.9,22.8,29.8,34.7,25.1,26.3,0.00,0.00,3
2007-01-09,84,94,68,28.9,24.2,30.5,33.6,28.1,26.0,8.30,8.30,63
2007-01-10,86,95,78,27.4,24.2,29.9,31.9,28.1,25.6,5.10,5.10,55
2007-01-11,89,97,82,26.7,24.2,29.4,31.6,28.0,25.0,10.30,10.30,61
2007-01-12,88,96,73,28.7,23.3,30.0,34.5,27.0,25.3,5.00,5.00,61
2007-01-13,84,92,67,29.3,23.0,30.2,35.1,26.1,25.7,3.00,3.00,63
2007-01-14,85,94,74,28.6,24.2,30.7,34.4,27.9,26.0,4.50,4.50,55
2007-01-15,84,96,65,29.7,23.8,31.0,35.7,27.5,26.2,0.20,0.20,51
2007-01-16,81,94,59,30.2,23.3,30.5,34.4,26.5,26.2,0.10,0.10,51
2007-01-17,81,93,62,30.0,23.5,31.3,36.3,27.2,26.4,0.00,0.00,3
2007-01-18,82,95,62,30.2,23.5,31.1,35.2,27.2,26.4,0.00,0.00,3
2007-01-19,77,88,60,29.7,23.6,29.9,33.3,26.4,26.3,0.00,0.00,3
2007-01-20,74,88,52,30.4,22.5,29.2,33.0,25.3,26.2,0.00,0.00,3
2007-01-21,76,88,61,29.2,22.4,29.2,35.0,24.6,25.6,0.00,0.00,3
2007-01-22,75,90,53,29.6,22.8,29.6,34.1,25.8,25.8,0.00,0.00,3
2007-01-23,77,91,57,29.5,22.0,29.7,34.9,24.8,25.6,0.00,0.00,2
2007-01-24,73,85,54,29.6,22.4,29.4,34.6,24.7,25.9,0.00,0.00,1
2007-01-25,74,86,57,29.7,23.3,30.0,34.3,25.3,26.3,0.00,0.00,3
2007-01-26,81,94,66,28.9,23.7,29.5,32.9,26.2,25.7,3.20,3.20,53
