latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.8541303,81.35636,152.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,76,92,54,28.0,17.8,24.9,31.7,19.1,22.7,0.00,0.00,3
2007-01-02,80,94,66,26.8,19.1,25.3,30.1,20.9,23.0,0.00,0.00,3
2007-01-03,75,84,61,27.1,20.2,25.1,29.6,21.7,23.1,0.00,0.00,3
2007-01-04,77,90,62,25.9,17.8,23.3,28.0,19.0,21.8,0.00,0.00,3
2007-01-05,78,91,59,26.9,17.2,23.9,28.6,18.2,22.2,0.00,0.00,3
2007-01-06,79,94,62,27.1,18.3,24.6,29.4,19.5,22.8,0.00,0.00,2
2007-01-07,82,92,70,26.6,19.4,25.1,29.6,21.4,22.9,0.20,0.20,51
2007-01-08,87,95,76,26.6,21.1,26.4,29.6,23.4,23.6,1.80,1.80,53
2007-01-09,94,98,87,26.1,22.9,27.3,30.1,26.0,23.7,17.80,17.80,63
2007-01-10,95,98,91,25.2,22.6,27.2,29.2,26.1,23.5,7.30,7.30,61
2007-01-11,94,99,82,26.3,22.1,27.4,30.1,25.6,23.6,10.90,10.90,63
2007-01-12,93,97,84,26.2,22.2,27.1,30.6,25.5,23.5,8.20,8.20,61
2007-01-13,93,96,86,26.4,21.9,27.0,30.5,25.0,23.5,1.90,1.90,53
2007-01-14,91,97,79,27.0,22.4,27.7,30.6,25.8,24.1,1.70,1.70,55
2007-01-15,85,97,71,27.6,21.7,27.4,30.8,24.7,24.4,0.40,0.40,51
2007-01-16,85,94,72,27.5,22.0,27.3,31.0,25.0,24.3,0.70,0.70,51
2007-01-17,83,94,71,27.6,21.5,27.1,30.6,24.3,24.3,0.00,0.00,3
2007-01-18,83,89,73,27.3,21.3,26.8,30.2,23.4,24.1,0.60,0.60,51
2007-01-19,80,90,67,27.6,21.9,26.7,30.6,24.3,24.2,0.00,0.00,3
2007-01-20,80,93,69,26.9,20.9,25.5,29.2,22.6,23.4,0.00,0.00,3
2007-01-21,80,94,62,27.5,19.3,25.2,31.1,20.9,22.9,0.00,0.00,3
2007-01-22,79,92,62,27.1,18.6,24.5,30.0,20.0,22.5,0.00,0.00,3
2007-01-23,77,88,61,27.6,18.1,24.5,30.8,18.8,22.6,0.00,0.00,3
2007-01-24,75,89,59,28.0,18.9,24.9,30.5,19.8,23.2,0.00,0.00,3
2007-01-25,81,90,72,27.1,20.7,26.3,29.5,22.3,23.8,2.10,2.10,53
2007-01-26,95,99,91,23.9,22.4,26.9,28.0,25.7,23.1,19.60,19.60,63
2007-01-27,96,99,90,25.3,22.7,27.7,30.0,26.8,23.5,18.00,18.00,63
2007-01-28,94,98,85,27.4,22.1,28.0,33.2,25.4,23.9,8.90,8.90,61
2007-01-29,92,98,80,27.4,22.6,28.1,32.1,26.4,24.2,2.20,2.20,51
2007-01-30,84,97,67,27.8,22.0,27.2,31.4,24.2,24.2,0.30,0.30,51
2007-01-31,82,96,65,28.1,21.6,27.0,31.5,24.0,24.3,0.10,0.10,51
2007-02-01,80,98,60,27.8,21.5,26.3,30.6,23.9,23.9,0.20,0.20,51
2007-02-02,88,97,78,26.0,19.5,25.7,29.5,21.5,22.8,2.20,2.20,51
2007-02-03,89,96,80,26.8,19.6,26.4,31.1,21.9,23.2,3.40,3.40,53
2007-02-04,86,97,71,27.1,20.1,26.8,31.1,22.6,23.5,0.60,0.60,51
2007-02-05,83,98,61,28.3,20.1,26.4,32.5,22.5,23.5,0.00,0.00,2
2007-02-06,81,96,61,27.4,18.9,25.0,31.6,20.5,22.6,0.00,0.00,2
2007-02-07,84,96,62,27.6,17.8,25.2,30.1,19.1,22.7,1.30,1.30,51
2007-02-08,81,98,55,28.4,19.5,26.8,32.1,22.1,23.7,0.00,0.00,3
2007-02-09,83,97,62,28.3,19.6,26.7,32.1,21.9,23.7,0.00,0.00,3
2007-02-10,85,98,66,28.4,20.1,27.3,32.6,22.5,23.9,0.90,0.90,51
2007-02-11,89,98,71,28.1,20.5,28.1,33.4,23.6,24.0,2.50,2.50,51
2007-02-12,86,98,67,29.3,20.6,29.0,35.2,23.9,24.7,0.70,0.70,51
2007-02-13,88,100,67,29.7,20.6,29.8,36.5,24.4,24.7,2.60,2.60,55
2007-02-14,83,98,59,29.9,21.7,29.7,35.6,25.7,25.3,0.00,0.00,2
2007-02-15,82,97,57,30.3,20.4,29.7,36.0,23.6,25.3,0.00,0.00,1
2007-02-16,82,97,59,29.5,22.9,30.4,34.8,27.7,25.6,0.10,0.10,51
2007-02-17,83,96,64,29.0,22.0,29.5,34.5,25.7,25.0,5.00,5.00,61
2007-02-18,84,98,64,28.6,20.4,28.3,33.5,23.8,24.3,0.80,0.80,51
2007-02-19,82,98,62,28.3,21.0,27.3,31.6,24.2,24.3,0.40,0.40,51
2007-02-20,81,94,64,27.9,20.8,26.3,30.1,23.2,24.0,0.40,0.40,51
2007-02-21,74,91,57,27.4,20.7,25.0,28.8,22.0,23.6,0.00,0.00,3
2007-02-22,75,86,64,26.6,20.3,24.7,27.7,22.0,23.3,0.00,0.00,3
2007-02-23,78,93,62,28.6,20.0,26.7,32.5,21.9,24.0,0.00,0.00,3
2007-02-24,86,96,73,27.5,20.8,27.7,30.8,23.9,24.1,1.50,1.50,51
2007-02-25,89,98,79,28.8,21.8,29.0,35.8,25.9,24.4,9.60,9.60,63
2007-02-26,83,95,64,29.7,20.4,29.2,35.4,23.6,25.0,2.50,2.50,61
2007-02-27,87,98,69,29.8,20.9,29.3,35.7,24.3,24.8,10.20,10.20,63
