latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
6.924429,79.90725,4,19800,Asia/Colombo,GMT+5:30,,,,,,,
,,,,,,,,,,,,
time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
1/1/2007,69,86,50,29.1,20.3,28,32.9,22.4,25.1,0,0,3
1/2/2007,67,82,49,29.7,22.9,28.1,32.5,24.9,26,0,0,3
1/3/2007,60,73,47,30.4,22.1,27.1,33.7,22.8,25.9,0,0,2
1/4/2007,60,75,45,29.5,21.3,25.9,31.7,22,25.2,0,0,3
1/5/2007,61,78,43,30.1,21.3,26.6,31.8,22.7,25.4,0,0,3
1/6/2007,65,80,46,30.8,21.6,28.2,34.2,23,26,0,0,2
1/7/2007,64,78,46,30.5,22.9,27.4,32.2,23.9,26.2,0,0,3
1/8/2007,69,81,52,31.4,23.1,28.9,33.7,24.8,26.9,0,0,3
1/9/2007,76,85,62,30.4,24.4,30.1,33.6,27.4,26.8,0.5,0.5,51
1/10/2007,82,87,78,27.2,24.5,29,31.2,27.2,25.7,5.6,5.6,61
1/11/2007,84,96,72,28.6,23.8,29.5,33.5,27.4,25.6,6.6,6.6,61
1/12/2007,83,96,69,29.9,23.3,29.8,34.4,26.2,25.9,0.3,0.3,51
1/13/2007,78,91,58,30.8,23.6,29.9,34.3,26.1,26.5,0,0,3
1/14/2007,81,94,65,29.3,24.3,30.3,33.5,27.3,26.4,0,0,3
1/15/2007,76,92,53,31.2,23.7,30.2,34.4,26.2,26.8,0,0,3
1/16/2007,73,88,50,31.5,23.3,29.5,33.6,25.9,26.8,0,0,3
1/17/2007,71,87,51,31.7,23.1,30.4,36,26.2,27.1,0,0,3
1/18/2007,70,87,49,31.9,22.8,29.8,34,25.6,26.9,0,0,3
1/19/2007,67,83,49,31.1,23.6,28.8,32.9,25.5,26.9,0,0,3
1/20/2007,64,84,44,31.4,22.1,27.9,32.9,24,26.6,0,0,2
1/21/2007,66,83,45,31.2,21.8,28.8,35.6,23.3,26.2,0,0,3
1/22/2007,61,84,40,30.9,22.4,27.9,32.8,24.1,26.4,0,0,3
1/23/2007,60,81,34,32.3,21.2,28.4,34.3,22.8,26.3,0,0,2
1/24/2007,60,78,39,31.9,22.2,28.7,34.1,23.5,26.9,0,0,2
1/25/2007,62,81,44,32,22.9,29,34.1,24.1,27.2,0,0,3
1/26/2007,73,93,53,31,23.8,29,33,25.6,26.5,2.6,2.6,53
1/27/2007,87,97,71,29.3,23.5,30.4,34.6,27.7,25.6,11.6,11.6,63
1/28/2007,84,97,63,31.1,23.7,31.8,37.2,28.2,26.4,11.9,11.9,63
1/29/2007,83,96,62,30.6,23.6,31.7,37,27.9,26.5,1.9,1.9,53
1/30/2007,74,94,52,31.4,24,30.8,35.9,26.9,27.2,0,0,3
1/31/2007,68,83,49,32,23.5,30,36.1,25.8,27.1,0,0,1
2/1/2007,66,84,43,31.4,23.9,29.3,34.4,25.8,27,0,0,3
2/2/2007,72,86,52,30.8,23.2,29.9,35.1,25.7,26.5,0,0,3
2/3/2007,74,96,45,32,22,30.7,36.8,25.7,26.8,0.1,0.1,51
2/4/2007,72,94,43,32.2,22.6,30.6,35.7,26.1,27,0,0,3
2/5/2007,70,94,36,33,21.3,30,35.2,24.5,26.8,0,0,2
2/6/2007,66,95,30,32.7,20.9,29.3,34.6,23.9,26.6,0,0,1
2/7/2007,66,90,37,32.5,22.7,29.9,35.9,26.1,26.9,0,0,1
2/8/2007,69,88,45,31.5,23.9,31,35.3,28.3,27.2,0.2,0.2,51
2/9/2007,71,90,41,32.2,23.9,31.4,35.7,28.7,27.3,0.6,0.6,51
