latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.924429,80.74199,1865.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,76,92,60,19.8,13.1,16.1,21.1,12.8,16.0,0.00,0.00,3
2007-01-02,83,96,65,19.8,13.3,16.7,20.5,13.8,16.1,0.90,0.90,51
2007-01-03,83,97,63,20.9,13.9,17.6,22.7,14.4,16.7,0.90,0.90,51
2007-01-04,85,98,66,20.1,13.2,17.1,21.5,13.5,16.3,0.20,0.20,51
2007-01-05,80,96,63,20.3,13.5,16.7,21.0,13.6,16.3,0.30,0.30,51
2007-01-06,80,96,61,20.7,12.6,16.8,22.5,12.3,16.4,0.00,0.00,2
2007-01-07,83,96,66,19.9,13.3,16.2,21.1,13.3,16.0,0.00,0.00,3
2007-01-08,90,98,78,19.3,14.1,17.2,20.1,14.3,16.6,2.20,2.20,51
2007-01-09,95,99,86,18.7,15.9,17.7,19.5,16.8,16.8,14.10,14.10,63
2007-01-10,97,100,93,18.3,15.7,17.7,19.8,16.5,16.7,7.90,7.90,61
2007-01-11,96,99,87,19.2,15.5,17.9,20.7,16.4,16.8,15.10,15.10,61
2007-01-12,94,99,84,19.1,15.1,17.4,20.1,15.8,16.6,6.20,6.20,55
2007-01-13,91,99,77,19.7,14.9,17.6,20.7,15.5,16.9,0.60,0.60,51
2007-01-14,92,99,83,19.4,15.6,18.2,20.6,16.5,17.1,4.10,4.10,61
2007-01-15,86,99,69,20.5,14.6,17.7,21.5,14.9,17.1,0.00,0.00,3
2007-01-16,86,97,70,20.6,15.0,17.8,21.8,15.5,17.1,0.00,0.00,3
2007-01-17,86,97,71,20.4,14.2,17.7,21.9,14.7,17.0,0.40,0.40,51
2007-01-18,85,97,74,20.0,14.2,17.3,20.9,14.5,16.8,0.50,0.50,51
