latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.0650263,79.96622,19.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,68,88,44,29.7,19.9,27.7,32.5,21.9,25.1,0.00,0.00,3
2007-01-02,67,83,48,29.7,22.8,27.7,32.2,24.2,25.8,0.00,0.00,3
2007-01-03,61,76,44,30.4,21.8,26.8,33.3,22.6,25.6,0.00,0.00,2
2007-01-04,63,79,45,29.4,20.8,25.6,31.4,21.7,24.8,0.00,0.00,3
2007-01-05,63,83,42,30.2,20.7,26.4,31.8,22.2,25.1,0.00,0.00,3
2007-01-06,65,84,45,31.1,21.1,27.9,34.3,22.6,25.8,0.00,0.00,2
2007-01-07,67,82,47,30.2,22.3,27.0,32.0,23.4,25.7,0.00,0.00,3
2007-01-08,71,83,55,30.7,22.9,28.6,33.2,24.6,26.4,0.00,0.00,3
2007-01-09,76,86,61,30.1,24.3,29.8,33.1,27.2,26.6,0.50,0.50,51
2007-01-10,82,85,76,27.2,24.6,28.9,31.3,27.2,25.6,5.60,5.60,61
2007-01-11,82,93,68,29.1,23.7,29.5,33.8,27.3,25.7,6.60,6.60,61
2007-01-12,81,95,66,29.8,23.4,29.6,34.2,26.3,25.9,0.30,0.30,51
2007-01-13,75,88,56,30.8,23.7,29.8,33.9,26.1,26.6,0.00,0.00,3
2007-01-14,77,86,63,29.6,24.4,30.1,33.2,27.2,26.5,0.00,0.00,3
2007-01-15,71,87,50,31.4,23.5,30.0,34.1,25.9,27.0,0.00,0.00,3
2007-01-16,72,89,51,31.2,23.3,29.3,33.4,25.9,26.7,0.00,0.00,3
2007-01-17,69,86,49,32.1,23.1,30.2,35.9,26.1,27.2,0.00,0.00,3
2007-01-18,70,87,49,31.6,22.6,29.5,33.7,25.2,26.8,0.00,0.00,3
2007-01-19,68,86,49,30.9,23.4,28.6,32.6,25.4,26.6,0.00,0.00,3
2007-01-20,66,86,43,31.4,21.8,27.7,32.8,23.8,26.2,0.00,0.00,2
2007-01-21,63,85,36,32.0,21.5,28.3,34.7,22.9,26.2,0.00,0.00,3
2007-01-22,61,80,40,30.9,22.1,27.5,32.7,23.6,26.1,0.00,0.00,3
2007-01-23,60,85,31,32.7,20.8,28.1,34.3,22.6,26.2,0.00,0.00,2
2007-01-24,60,82,38,32.2,21.8,28.4,34.5,23.2,26.6,0.00,0.00,2
2007-01-25,64,78,44,31.9,23.0,28.9,34.2,23.9,26.9,0.00,0.00,3
2007-01-26,76,95,55,30.3,23.6,28.6,32.3,25.4,25.9,2.60,2.60,53
2007-01-27,89,98,72,29.0,23.3,30.2,34.4,27.5,25.3,11.60,11.60,63
2007-01-28,82,92,60,31.4,23.6,31.6,37.2,28.0,26.5,11.90,11.90,63
2007-01-29,76,90,55,31.7,23.6,31.5,37.5,27.6,27.0,1.90,1.90,53
2007-01-30,70,87,49,31.8,24.1,30.5,35.8,26.4,27.2,0.00,0.00,3
2007-01-31,67,84,46,32.2,23.6,30.0,36.2,25.9,27.2,0.00,0.00,1
2007-02-01,64,85,40,31.6,24.1,29.0,34.0,25.3,27.0,0.00,0.00,3
2007-02-02,67,83,46,31.7,22.9,29.7,35.5,25.5,26.7,0.00,0.00,3
2007-02-03,71,93,44,32.3,21.6,30.3,37.1,24.7,26.8,0.10,0.10,51
2007-02-04,69,92,41,32.3,22.3,30.3,35.5,25.5,27.0,0.00,0.00,3
2007-02-05,66,91,35,33.3,21.8,29.9,35.4,25.0,27.1,0.00,0.00,2
2007-02-06,63,92,27,33.3,20.7,28.7,34.8,23.3,26.5,0.00,0.00,1
2007-02-07,64,88,34,33.1,21.6,29.4,36.2,24.4,26.8,0.00,0.00,1
2007-02-08,67,90,41,32.3,23.1,30.9,35.9,27.5,27.4,0.20,0.20,51
2007-02-09,66,89,37,33.0,23.2,30.8,35.9,27.2,27.4,0.60,0.60,51
2007-02-10,67,92,37,33.6,21.9,31.2,38.1,25.5,27.5,0.60,0.60,51
2007-02-11,73,91,51,31.9,23.6,32.1,37.7,27.9,27.6,0.30,0.30,51
2007-02-12,76,95,53,32.5,23.8,32.6,38.1,28.6,27.6,0.70,0.70,51
