latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.0650263,81.0304,676.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,76,93,57,25.1,17.2,22.5,27.7,18.5,20.8,0.00,0.00,3
2007-01-02,82,95,67,24.3,17.3,22.6,26.4,19.0,20.7,0.00,0.00,3
2007-01-03,78,91,63,25.4,18.5,23.3,28.0,19.9,21.4,0.00,0.00,3
2007-01-04,81,93,65,24.7,16.9,22.4,27.1,18.1,20.6,0.00,0.00,3
2007-01-05,79,92,61,24.8,16.8,22.4,26.6,18.0,20.7,0.00,0.00,1
2007-01-06,80,94,65,24.9,16.3,22.5,27.7,17.4,20.7,0.00,0.00,2
2007-01-07,84,94,70,24.4,17.7,22.9,27.2,19.6,20.8,0.00,0.00,3
2007-01-08,90,97,80,24.3,18.9,24.4,27.4,21.0,21.6,4.90,4.90,53
2007-01-09,95,98,88,23.8,21.0,25.2,27.5,24.5,21.8,20.00,20.00,63
2007-01-10,97,98,92,23.2,20.8,25.2,27.1,24.3,21.6,12.60,12.60,61
2007-01-11,95,99,87,24.2,20.5,25.2,27.7,23.8,21.7,18.30,18.30,61
2007-01-12,94,98,86,23.9,20.3,24.9,27.4,23.4,21.6,10.10,10.10,55
2007-01-13,92,98,83,24.2,20.0,24.8,27.4,22.9,21.7,3.40,3.40,53
2007-01-14,92,98,84,24.7,20.7,25.5,28.2,23.9,22.1,3.60,3.60,51
2007-01-15,87,98,73,25.3,19.7,25.1,28.8,22.3,22.2,0.40,0.40,51
2007-01-16,87,95,73,25.5,20.0,25.1,29.1,22.7,22.2,0.80,0.80,51
2007-01-17,85,96,73,25.4,19.3,24.9,28.5,21.7,22.2,0.30,0.30,51
2007-01-18,86,94,76,25.0,19.0,24.5,28.0,21.4,21.9,1.10,1.10,51
2007-01-19,82,92,69,25.4,19.6,24.5,28.0,21.8,22.1,0.00,0.00,3
2007-01-20,83,93,72,25.2,18.6,23.8,28.0,20.6,21.5,0.00,0.00,3
2007-01-21,79,97,58,26.2,17.0,23.4,29.5,18.6,21.2,0.00,0.00,3
2007-01-22,79,92,62,25.5,16.8,22.8,28.7,17.9,20.8,0.00,0.00,3
2007-01-23,74,93,55,26.2,17.0,22.8,29.4,17.4,21.1,0.00,0.00,3
2007-01-24,78,92,63,25.7,16.9,23.0,28.9,17.8,21.1,0.00,0.00,3
2007-01-25,85,93,73,25.0,18.2,23.8,27.2,19.8,21.4,0.30,0.30,51
2007-01-26,95,99,92,22.5,20.3,24.7,26.2,23.2,21.2,21.00,21.00,61
2007-01-27,97,99,91,23.2,20.8,25.3,27.0,24.6,21.5,19.90,19.90,63
2007-01-28,93,98,82,24.6,20.6,25.3,28.5,23.9,21.9,5.30,5.30,53
2007-01-29,92,98,82,24.5,20.4,25.4,28.4,23.8,22.1,4.40,4.40,53
2007-01-30,86,97,69,25.6,19.2,24.9,29.0,21.5,22.0,0.20,0.20,51
2007-01-31,84,94,69,25.8,19.2,24.6,29.9,21.4,22.0,0.10,0.10,51
2007-02-01,82,99,61,25.9,18.8,24.2,29.2,20.9,21.7,0.50,0.50,51
2007-02-02,88,98,77,24.4,18.1,23.8,27.8,20.1,21.1,1.70,1.70,51
2007-02-03,88,96,79,24.5,17.9,23.8,28.4,19.9,21.1,4.10,4.10,53
2007-02-04,87,98,69,25.2,17.8,24.3,28.8,19.9,21.5,0.80,0.80,51
2007-02-05,83,100,59,26.7,17.8,24.6,31.0,19.8,21.8,0.00,0.00,3
2007-02-06,80,99,57,26.2,17.6,23.8,30.2,19.3,21.5,0.00,0.00,3
2007-02-07,82,94,63,25.3,17.1,23.5,28.3,18.3,21.2,0.00,0.00,2
2007-02-08,81,99,59,25.8,18.1,24.1,29.3,20.6,21.6,0.00,0.00,3
2007-02-09,82,95,64,25.6,18.3,24.0,28.9,20.4,21.5,0.00,0.00,1
2007-02-10,84,97,64,26.3,18.7,24.9,30.3,20.9,22.0,0.00,0.00,3
2007-02-11,88,99,70,26.1,18.7,25.5,30.3,21.4,22.1,1.50,1.50,51
2007-02-12,86,98,69,26.7,18.9,26.5,32.0,21.7,22.7,3.00,3.00,61
2007-02-13,86,99,66,27.3,18.8,26.8,32.8,21.8,22.8,2.80,2.80,61
2007-02-14,82,98,58,27.7,19.7,26.8,33.2,22.5,23.2,0.30,0.30,51
2007-02-15,81,98,57,28.0,18.6,26.8,32.5,21.1,23.3,0.00,0.00,2
2007-02-16,82,97,57,27.4,21.0,27.1,31.6,24.7,23.5,0.80,0.80,51
2007-02-17,83,98,64,26.2,19.9,26.2,30.5,23.0,22.8,1.70,1.70,51
2007-02-18,82,97,62,26.7,19.4,25.7,30.9,22.3,22.5,1.10,1.10,51
2007-02-19,82,98,63,25.8,19.3,24.6,29.1,22.1,22.0,0.00,0.00,3
2007-02-20,82,95,66,25.4,18.8,23.9,28.2,21.2,21.7,0.20,0.20,51
2007-02-21,76,94,58,25.2,18.3,22.6,26.7,19.8,21.2,0.00,0.00,3
2007-02-22,79,91,66,24.5,18.2,22.8,25.9,19.8,21.2,0.00,0.00,2
2007-02-23,80,94,62,26.5,18.2,24.5,29.6,20.2,22.0,0.10,0.10,51
2007-02-24,88,97,72,25.6,19.1,25.3,29.0,21.8,22.1,4.60,4.60,61
2007-02-25,91,98,80,25.4,20.3,25.9,29.7,23.7,22.3,13.00,13.00,63
2007-02-26,84,97,66,27.6,18.9,26.4,33.0,21.6,22.9,8.00,8.00,63
2007-02-27,87,98,68,27.2,19.4,26.6,32.5,22.3,22.8,4.50,4.50,63
2007-02-28,90,98,74,26.5,20.4,26.6,31.3,23.9,22.8,2.60,2.60,53
2007-03-01,80,99,59,28.3,19.2,27.0,33.4,22.0,23.5,0.00,0.00,2
2007-03-02,84,98,65,27.1,20.0,26.9,32.2,23.3,23.2,1.20,1.20,51
2007-03-03,81,100,55,28.1,18.0,26.2,32.5,20.4,23.0,0.00,0.00,3
2007-03-04,78,100,53,27.2,17.5,24.9,30.8,19.6,22.3,0.00,0.00,3
2007-03-05,76,98,48,27.4,16.3,24.3,31.1,17.7,22.0,0.00,0.00,3
2007-03-06,73,95,54,27.9,17.5,24.6,31.3,18.8,22.5,0.00,0.00,3
2007-03-07,73,92,50,28.3,19.3,26.0,31.9,21.4,23.3,0.00,0.00,2
2007-03-08,74,97,48,28.6,17.3,25.8,32.5,19.4,23.1,0.00,0.00,3
2007-03-09,74,98,52,28.1,16.5,24.8,32.1,17.8,22.5,0.00,0.00,3
2007-03-10,72,93,51,28.4,16.6,25.0,32.1,17.9,22.8,0.00,0.00,3
2007-03-11,72,97,46,28.6,16.8,25.2,32.3,18.5,22.8,0.00,0.00,3
2007-03-12,84,98,59,27.3,18.5,25.5,31.1,20.7,22.4,2.70,2.70,53
2007-03-13,88,99,70,27.0,20.6,27.1,32.2,24.2,23.2,3.60,3.60,53
2007-03-14,83,97,62,27.9,20.3,27.4,32.7,23.6,23.8,0.40,0.40,51
2007-03-15,79,98,55,28.6,19.8,27.4,32.8,23.1,23.9,0.50,0.50,51
2007-03-16,87,96,75,27.0,21.2,27.5,32.3,24.6,23.5,3.40,3.40,61
2007-03-17,84,98,65,28.0,20.7,27.6,31.9,24.4,23.9,2.00,2.00,53
2007-03-18,73,99,45,28.8,18.9,26.2,32.3,21.5,23.6,0.00,0.00,2
2007-03-19,64,99,30,30.1,16.3,25.2,31.9,18.0,23.5,0.00,0.00,3
2007-03-20,62,94,31,29.5,15.8,24.2,31.2,16.9,23.0,0.00,0.00,0
2007-03-21,62,93,27,29.9,16.9,24.4,31.1,18.3,23.1,0.00,0.00,2
2007-03-22,63,87,34,30.1,17.6,25.5,32.3,19.0,23.8,0.00,0.00,2
2007-03-23,67,95,38,29.8,17.4,25.9,32.5,19.3,23.8,0.00,0.00,2
2007-03-24,66,88,37,30.6,20.9,27.4,33.5,23.5,24.9,0.00,0.00,3
2007-03-25,64,95,31,30.9,18.3,26.7,32.6,20.6,24.7,0.00,0.00,1
2007-03-26,62,89,33,30.5,18.3,26.2,32.5,20.0,24.4,0.00,0.00,0
2007-03-27,60,81,39,30.4,19.0,26.4,33.2,20.4,24.7,0.00,0.00,1
2007-03-28,60,86,33,30.5,17.5,25.5,32.3,18.7,24.2,0.00,0.00,2
2007-03-29,58,79,33,30.5,18.3,25.6,32.1,19.2,24.3,0.00,0.00,2
2007-03-30,68,84,46,30.2,19.5,27.0,33.8,21.5,24.5,0.00,0.00,3
2007-03-31,75,94,43,30.0,20.2,27.7,33.0,23.3,24.5,0.90,0.90,51
2007-04-01,82,97,58,29.2,20.9,28.3,33.4,24.7,24.3,6.00,6.00,63
2007-04-02,77,97,54,29.3,20.8,28.6,33.8,24.4,24.9,0.50,0.50,51
2007-04-03,75,95,50,30.0,20.8,28.7,33.7,24.1,25.2,0.20,0.20,51
2007-04-04,78,97,53,29.7,22.1,28.9,33.5,26.4,25.1,1.70,1.70,51
2007-04-05,88,97,67,28.4,21.9,27.7,32.7,25.9,23.6,5.40,5.40,61
2007-04-06,89,97,76,25.9,22.2,27.5,29.4,26.6,23.5,2.00,2.00,53
2007-04-07,90,97,75,26.7,21.7,27.7,31.6,25.8,23.4,5.50,5.50,55
