latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.275923,80.32176,172.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,69,86,46,28.2,17.8,24.9,30.6,18.7,23.1,0.00,0.00,3
2007-01-02,71,86,53,27.5,20.9,25.1,29.6,21.8,23.6,0.00,0.00,3
2007-01-03,65,81,46,28.4,19.6,24.6,31.0,20.6,23.5,0.00,0.00,3
2007-01-04,67,84,50,27.1,18.2,23.3,29.0,19.0,22.5,0.00,0.00,3
2007-01-05,68,88,45,28.4,17.8,23.8,29.7,19.0,22.8,0.00,0.00,2
2007-01-06,68,88,48,28.8,18.4,24.8,30.9,19.6,23.5,0.00,0.00,1
2007-01-07,72,86,53,27.9,20.0,24.6,28.8,21.3,23.5,0.00,0.00,2
2007-01-08,76,85,62,28.0,21.2,26.2,29.5,22.8,24.3,0.10,0.10,51
2007-01-09,79,89,66,27.8,22.6,27.4,30.0,25.4,24.8,0.20,0.20,51
2007-01-10,83,89,76,25.8,23.1,27.1,29.0,25.7,24.2,2.10,2.10,53
2007-01-11,84,90,71,27.7,22.7,27.7,31.5,25.9,24.3,1.00,1.00,51
2007-01-12,82,93,68,27.8,22.0,27.1,31.4,24.7,24.2,0.40,0.40,51
2007-01-13,78,89,60,28.6,22.2,27.2,30.4,24.6,24.8,0.00,0.00,3
2007-01-14,79,89,65,27.9,22.9,27.7,30.4,25.6,24.8,0.00,0.00,3
2007-01-15,73,88,53,29.3,21.9,27.3,30.9,24.0,25.2,0.00,0.00,3
2007-01-16,75,90,55,29.0,21.8,27.0,31.1,24.3,24.9,0.00,0.00,3
2007-01-17,71,87,51,30.0,21.5,27.4,32.7,24.0,25.2,0.00,0.00,3
2007-01-18,72,85,53,29.1,20.8,26.7,30.4,22.9,24.7,0.00,0.00,3
2007-01-19,72,88,53,28.8,21.7,26.3,30.2,23.4,24.7,0.00,0.00,3
2007-01-20,70,87,47,29.3,20.0,25.4,30.3,21.7,24.2,0.00,0.00,3
2007-01-21,64,88,37,30.2,19.4,25.6,32.1,20.6,24.2,0.00,0.00,3
2007-01-22,66,83,43,28.8,19.6,24.7,29.7,20.8,23.8,0.00,0.00,3
2007-01-23,63,84,34,30.5,18.4,25.0,31.6,19.3,24.0,0.00,0.00,2
2007-01-24,64,83,42,30.0,19.6,25.3,31.1,20.7,24.3,0.00,0.00,2
2007-01-25,69,81,51,29.2,20.8,26.0,30.3,21.8,24.6,0.00,0.00,3
2007-01-26,83,97,65,27.2,21.9,26.2,29.1,24.1,23.7,4.60,4.60,53
2007-01-27,90,97,74,27.3,21.8,27.8,31.4,25.5,23.7,13.10,13.10,63
2007-01-28,79,91,60,29.4,22.3,28.6,33.3,25.8,25.1,1.60,1.60,61
2007-01-29,74,89,55,29.8,22.4,28.6,32.9,25.6,25.6,0.00,0.00,3
2007-01-30,71,87,50,30.0,22.6,27.7,32.9,24.1,25.4,0.00,0.00,3
2007-01-31,69,83,47,30.3,22.2,27.3,33.4,24.0,25.4,0.00,0.00,1
2007-02-01,65,87,41,29.9,21.9,26.4,31.5,22.8,25.2,0.00,0.00,3
2007-02-02,70,83,50,29.8,20.9,26.9,32.2,23.1,24.7,0.00,0.00,3
2007-02-03,73,90,49,30.0,19.8,27.2,33.5,22.0,24.6,0.00,0.00,3
2007-02-04,69,91,43,30.2,20.3,27.6,33.0,22.9,25.3,0.00,0.00,3
2007-02-05,65,91,36,31.4,20.2,27.3,33.2,22.2,25.5,0.00,0.00,2
2007-02-06,62,92,27,31.4,18.9,26.2,32.3,20.8,24.7,0.00,0.00,2
2007-02-07,65,90,37,30.8,18.7,26.6,32.2,20.6,24.7,0.00,0.00,1
2007-02-08,64,89,34,31.1,21.0,28.1,33.5,24.0,25.6,0.00,0.00,3
2007-02-09,64,83,39,31.3,21.6,27.5,32.8,24.1,25.5,0.00,0.00,3
2007-02-10,63,89,35,32.4,21.0,29.0,35.8,24.0,26.3,0.00,0.00,3
2007-02-11,67,89,45,30.9,21.8,29.7,35.2,25.2,26.5,0.20,0.20,51
2007-02-12,69,92,43,31.7,21.9,30.3,35.7,25.5,26.7,0.10,0.10,51
2007-02-13,72,96,45,31.1,21.5,29.8,34.5,25.5,26.3,0.00,0.00,3
2007-02-14,71,94,41,31.9,22.5,30.1,34.8,26.8,26.6,0.00,0.00,3
2007-02-15,72,94,41,31.4,22.1,29.4,33.8,26.0,26.1,0.00,0.00,2
2007-02-16,68,94,38,31.6,22.3,29.4,34.5,26.6,26.3,0.00,0.00,1
2007-02-17,70,91,49,30.1,21.6,28.9,34.0,25.1,25.7,0.50,0.50,51
2007-02-18,65,85,39,32.1,22.6,29.8,36.0,26.2,26.5,0.70,0.70,51
2007-02-19,62,87,37,32.1,21.6,28.8,34.0,24.3,26.5,0.00,0.00,3
2007-02-20,62,81,39,31.2,21.9,26.8,31.7,23.7,26.0,0.00,0.00,3
2007-02-21,55,78,33,31.0,21.5,25.4,31.3,22.4,25.5,0.00,0.00,3
2007-02-22,56,72,38,30.5,21.2,25.2,31.0,21.8,25.2,0.00,0.00,2
2007-02-23,59,74,41,30.4,21.3,27.2,31.6,22.6,25.8,0.00,0.00,3
2007-02-24,65,83,41,31.3,22.8,28.9,35.0,25.2,26.3,0.70,0.70,51
2007-02-25,80,90,69,25.7,22.7,26.8,27.7,25.4,23.9,2.90,2.90,53
2007-02-26,70,89,46,31.8,21.1,29.5,36.1,24.4,26.0,0.50,0.50,53
2007-02-27,73,93,47,32.2,21.9,30.7,37.5,25.8,26.5,0.40,0.40,51
2007-02-28,72,93,48,31.4,22.5,30.4,36.0,26.6,26.6,0.40,0.40,51
2007-03-01,67,91,39,33.0,21.3,30.8,37.0,24.6,27.2,0.00,0.00,2
2007-03-02,75,91,51,30.6,23.4,29.6,34.3,27.2,26.1,0.60,0.60,51
2007-03-03,68,97,38,32.5,20.8,30.4,35.9,24.2,26.8,0.00,0.00,2
2007-03-04,59,92,24,33.5,21.5,29.9,35.0,24.9,27.3,0.00,0.00,1
2007-03-05,58,87,28,33.6,21.9,29.5,35.8,24.8,27.1,0.00,0.00,2
2007-03-06,55,82,28,33.6,20.2,29.0,35.8,22.0,27.0,0.00,0.00,3
2007-03-07,64,87,37,32.7,21.5,29.9,36.2,24.5,26.9,0.20,0.20,51
2007-03-08,61,92,26,34.3,21.9,30.5,36.9,25.5,27.6,0.00,0.00,3
2007-03-09,54,86,19,35.1,20.8,29.4,36.4,22.4,27.5,0.00,0.00,3
2007-03-10,54,85,23,34.6,20.5,29.3,35.8,22.7,27.5,0.00,0.00,3
2007-03-11,59,88,30,33.7,21.9,29.9,36.7,25.3,27.2,0.00,0.00,3
2007-03-12,64,90,41,32.1,22.4,30.6,35.1,26.5,27.3,0.20,0.20,51
2007-03-13,73,91,45,32.8,24.0,31.0,38.3,27.8,26.8,6.60,6.60,63
2007-03-14,68,93,38,33.2,22.1,31.4,37.1,26.0,27.4,0.90,0.90,53
2007-03-15,66,89,36,33.4,22.9,31.1,37.2,26.8,27.4,0.30,0.30,51
2007-03-16,76,90,49,32.7,23.4,31.3,38.3,27.8,26.6,3.80,3.80,61
2007-03-17,72,94,44,33.0,22.9,31.8,37.8,27.3,27.4,0.10,0.10,51
2007-03-18,64,92,28,34.1,22.4,31.0,37.2,26.1,27.6,0.00,0.00,1
2007-03-19,61,92,21,34.7,21.3,30.4,36.7,24.7,27.6,0.00,0.00,3
2007-03-20,61,94,20,34.8,21.3,30.2,36.1,24.9,27.6,0.00,0.00,2
2007-03-21,65,96,31,33.2,22.4,30.3,35.9,26.4,27.3,0.00,0.00,2
2007-03-22,64,92,29,34.1,21.9,30.8,36.4,25.5,27.6,0.00,0.00,3
2007-03-23,65,94,28,34.4,22.0,30.8,36.9,26.0,27.6,0.70,0.70,51
2007-03-24,68,96,37,33.1,22.4,30.6,36.3,26.8,27.1,0.00,0.00,3
2007-03-25,64,92,25,35.6,22.0,31.2,38.1,25.7,27.9,0.40,0.40,51
2007-03-26,63,90,22,35.4,22.0,31.3,38.1,25.3,28.1,0.90,0.90,53
2007-03-27,59,91,19,36.2,21.7,31.4,39.0,25.1,28.5,0.00,0.00,1
2007-03-28,56,92,15,36.6,22.5,31.5,37.2,26.5,28.9,0.00,0.00,2
2007-03-29,52,82,17,36.0,23.8,30.9,36.6,26.7,28.9,0.50,0.50,53
2007-03-30,63,91,33,34.3,23.6,31.8,37.1,28.1,28.4,0.00,0.00,3
2007-03-31,69,88,43,33.3,24.3,31.9,37.6,28.8,27.7,0.40,0.40,51
2007-04-01,79,93,51,32.3,23.1,30.6,37.6,27.6,26.1,6.00,6.00,61
2007-04-02,74,92,48,32.3,23.2,31.1,37.5,27.6,27.0,0.20,0.20,51
2007-04-03,74,92,45,32.9,23.4,31.6,38.0,27.8,27.2,0.20,0.20,51
2007-04-04,71,92,44,32.8,24.0,32.0,37.7,29.0,27.6,0.40,0.40,51
2007-04-05,78,93,49,33.1,23.7,31.7,39.8,28.4,26.8,13.50,13.50,63
2007-04-06,81,93,58,30.9,23.6,31.0,35.8,27.9,26.2,4.50,4.50,55
2007-04-07,85,97,60,30.7,23.0,30.4,37.5,27.8,25.5,44.60,44.60,65
2007-04-08,92,98,75,27.6,22.9,28.9,31.9,27.4,24.2,52.50,52.50,63
2007-04-09,96,99,89,24.8,22.6,28.5,30.0,27.3,23.5,29.80,29.80,63
2007-04-10,93,98,85,26.3,22.2,28.4,31.3,26.5,23.8,22.40,22.40,63
2007-04-11,95,98,93,23.6,22.2,26.5,27.7,25.8,22.7,68.60,68.60,63
2007-04-12,94,98,79,26.5,22.0,27.6,30.9,26.0,23.3,35.90,35.90,63
2007-04-13,87,97,72,29.2,21.9,30.1,36.7,26.1,25.0,2.80,2.80,61
2007-04-14,85,98,66,29.6,22.5,30.7,36.0,27.1,25.6,2.30,2.30,55
2007-04-15,89,97,72,29.0,23.1,29.7,36.3,27.5,24.8,9.30,9.30,61
2007-04-16,84,98,66,29.1,21.9,30.1,34.3,26.0,25.4,0.80,0.80,51
2007-04-17,82,95,65,29.2,22.5,30.3,34.4,26.8,25.8,0.00,0.00,1
2007-04-18,81,95,61,30.3,22.7,31.1,36.6,26.4,26.3,0.00,0.00,2
2007-04-19,83,96,63,30.2,22.9,31.3,36.6,27.5,26.2,0.60,0.60,51
2007-04-20,84,96,63,29.8,22.5,30.6,36.2,26.9,25.7,1.20,1.20,51
2007-04-21,86,95,67,29.8,22.7,30.0,36.4,26.9,25.1,7.90,7.90,63
2007-04-22,90,98,77,28.2,22.1,29.3,34.0,26.3,24.6,6.90,6.90,63
2007-04-23,86,96,69,29.5,22.3,30.1,35.8,26.2,25.3,5.00,5.00,63
2007-04-24,84,93,69,29.1,23.1,30.0,34.4,26.8,25.6,1.00,1.00,53
2007-04-25,84,94,67,29.9,22.7,30.5,36.3,26.7,25.7,1.80,1.80,55
2007-04-26,89,98,76,29.0,22.3,30.1,36.0,26.6,25.0,9.40,9.40,61
2007-04-27,88,97,68,29.6,21.6,30.1,36.4,25.5,24.9,8.80,8.80,63
2007-04-28,88,97,72,29.4,22.3,29.8,36.1,26.7,24.9,9.10,9.10,63
2007-04-29,89,96,73,29.4,21.9,29.4,35.9,25.7,24.7,4.90,4.90,61
2007-04-30,87,95,74,29.5,22.0,30.0,36.9,25.9,25.2,2.70,2.70,61
2007-05-01,84,96,65,30.3,22.4,30.9,36.6,26.3,26.0,0.90,0.90,51
2007-05-02,86,94,75,29.5,23.2,30.6,35.9,27.3,25.9,3.40,3.40,53
2007-05-03,88,92,79,27.7,23.5,29.3,33.7,27.0,25.1,8.80,8.80,63
2007-05-04,90,94,84,26.4,23.3,28.5,30.7,27.3,24.5,12.40,12.40,63
2007-05-05,86,94,72,29.2,23.7,30.2,34.1,27.8,25.8,4.10,4.10,61
2007-05-06,86,92,76,28.9,24.1,30.1,34.3,28.4,25.8,2.00,2.00,55
2007-05-07,85,92,75,28.6,24.1,29.8,34.0,28.0,25.8,2.10,2.10,53
2007-05-08,88,93,75,28.4,24.2,29.3,32.9,28.1,25.4,7.00,7.00,63
2007-05-09,89,95,76,27.5,23.8,28.7,31.1,27.6,25.0,10.80,10.80,63
2007-05-10,89,94,76,28.3,23.5,29.0,32.5,27.2,25.1,11.50,11.50,63
2007-05-11,88,93,80,28.0,23.9,29.1,32.8,27.4,25.3,2.40,2.40,53
