latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.275923,80.62659,499.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,78,93,57,25.4,15.3,22.0,27.8,15.6,20.5,0.00,0.00,3
2007-01-02,83,96,66,24.5,18.4,23.3,26.3,20.3,21.1,0.10,0.10,51
2007-01-03,79,94,59,25.5,17.2,22.8,28.2,18.7,20.9,0.00,0.00,3
2007-01-04,80,94,63,23.6,15.1,20.8,25.8,15.7,19.4,0.00,0.00,3
2007-01-05,78,95,57,25.0,15.2,21.1,26.8,15.7,19.9,0.00,0.00,2
2007-01-06,79,96,61,25.2,15.6,22.1,27.5,16.3,20.6,0.00,0.00,2
2007-01-07,83,95,66,24.9,18.0,22.9,27.1,19.9,21.0,0.20,0.20,51
2007-01-08,88,94,77,24.7,19.3,24.6,27.8,21.6,21.9,3.70,3.70,53
2007-01-09,90,95,81,24.5,21.1,25.5,27.4,24.0,22.5,10.00,10.00,61
2007-01-10,93,97,87,23.5,21.3,25.4,26.9,24.4,22.2,10.50,10.50,55
2007-01-11,93,98,84,25.2,21.2,25.8,28.8,24.5,22.4,17.10,17.10,63
2007-01-12,91,98,81,24.7,20.8,25.3,28.1,23.8,22.2,7.30,7.30,53
2007-01-13,88,96,74,25.3,20.7,25.3,27.8,23.6,22.5,2.10,2.10,51
2007-01-14,89,96,80,24.9,21.0,25.7,28.2,24.1,22.5,2.30,2.30,51
2007-01-15,84,95,68,26.1,20.3,25.4,28.8,23.1,22.8,0.30,0.30,51
2007-01-16,86,95,70,25.6,20.4,25.2,28.6,23.2,22.5,1.10,1.10,51
2007-01-17,83,95,68,26.0,19.6,25.0,28.5,22.3,22.5,0.00,0.00,3
2007-01-18,84,94,71,25.6,18.5,24.4,28.0,20.4,22.0,0.90,0.90,51
2007-01-19,83,95,67,25.6,19.1,24.5,27.6,21.6,22.2,0.00,0.00,3
2007-01-20,82,96,65,25.1,17.7,22.9,27.1,19.4,21.0,0.00,0.00,3
2007-01-21,78,98,53,26.0,16.9,22.4,28.3,18.2,20.8,0.00,0.00,3
2007-01-22,79,95,58,25.0,16.2,21.6,27.1,17.1,20.2,0.00,0.00,3
2007-01-23,74,93,50,26.1,15.1,21.7,28.6,15.0,20.5,0.00,0.00,2
2007-01-24,77,95,58,25.6,16.5,22.1,27.3,17.6,20.8,0.00,0.00,2
2007-01-25,83,94,69,25.5,17.5,23.8,27.7,18.9,21.6,0.40,0.40,51
2007-01-26,93,99,81,24.1,20.4,24.7,27.0,23.5,21.5,17.50,17.50,61
2007-01-27,94,98,84,24.5,20.6,25.5,27.8,23.7,22.1,15.70,15.70,63
2007-01-28,88,96,73,25.9,20.9,25.5,29.0,23.7,22.7,3.40,3.40,55
2007-01-29,84,95,70,26.1,21.0,25.7,28.7,23.9,23.1,1.10,1.10,51
2007-01-30,82,94,65,26.4,20.1,25.2,29.4,22.5,22.7,0.50,0.50,51
2007-01-31,80,90,62,26.5,20.2,24.9,30.0,22.4,22.6,0.00,0.00,3
2007-02-01,77,94,56,25.9,18.8,23.9,28.3,20.1,22.0,0.20,0.20,51
2007-02-02,83,95,67,25.9,18.3,24.0,28.9,20.3,21.8,0.30,0.30,51
2007-02-03,84,95,69,26.1,18.0,24.4,30.3,19.7,21.8,1.60,1.60,51
2007-02-04,82,98,61,26.5,17.7,25.0,30.2,19.7,22.3,0.10,0.10,51
2007-02-05,78,98,53,27.6,18.1,24.9,31.4,20.3,22.4,0.00,0.00,3
2007-02-06,75,98,44,27.3,17.3,23.4,30.2,18.7,21.6,0.00,0.00,3
2007-02-07,78,96,53,26.6,16.1,23.4,28.5,16.9,21.6,0.00,0.00,3
2007-02-08,77,96,53,27.2,18.7,25.1,30.6,21.3,22.6,0.00,0.00,3
2007-02-09,77,94,56,27.1,18.4,24.5,29.3,20.3,22.4,0.00,0.00,3
2007-02-10,77,95,54,28.2,19.2,25.8,31.8,21.5,23.2,0.00,0.00,3
2007-02-11,80,96,59,27.6,19.4,26.9,31.4,22.2,23.6,1.30,1.30,51
2007-02-12,80,97,61,28.4,19.8,27.7,33.4,22.8,24.0,6.50,6.50,63
2007-02-13,76,98,50,28.9,19.2,27.6,33.1,22.3,24.3,0.00,0.00,3
2007-02-14,73,94,47,29.4,21.1,28.2,33.7,24.4,24.8,0.00,0.00,2
2007-02-15,73,96,47,29.2,20.6,27.6,32.3,23.9,24.5,0.00,0.00,1
2007-02-16,72,93,47,29.0,21.5,27.7,32.5,25.2,24.6,0.10,0.10,51
2007-02-17,77,91,57,27.6,20.9,27.1,31.6,24.2,23.8,1.90,1.90,51
2007-02-18,75,93,52,28.9,21.0,27.3,32.7,24.0,24.2,1.10,1.10,51
2007-02-19,74,92,54,27.8,20.2,25.7,30.3,22.6,23.6,0.00,0.00,3
2007-02-20,75,91,56,27.0,20.0,24.7,29.2,22.3,23.0,0.20,0.20,51
2007-02-21,69,90,47,26.9,19.2,23.3,27.8,20.4,22.3,0.00,0.00,3
2007-02-22,72,90,56,25.7,18.2,22.7,26.0,19.8,21.7,0.00,0.00,3
2007-02-23,73,90,55,27.1,18.1,24.7,29.0,19.7,22.8,0.00,0.00,3
2007-02-24,80,94,58,27.6,20.3,26.5,30.5,23.3,23.5,8.10,8.10,61
2007-02-25,91,96,83,23.9,20.3,25.7,27.1,23.4,22.1,26.50,26.50,63
2007-02-26,81,97,59,28.6,19.2,27.1,34.1,21.7,23.6,7.60,7.60,63
2007-02-27,83,96,60,28.7,19.9,27.5,33.8,23.0,23.7,2.90,2.90,55
2007-02-28,83,96,64,27.9,20.6,27.2,32.6,23.7,23.7,2.40,2.40,51
2007-03-01,75,95,54,29.2,19.7,27.5,33.8,22.1,24.3,0.00,0.00,1
2007-03-02,78,95,55,28.7,21.3,28.1,33.1,24.8,24.4,1.40,1.40,53
2007-03-03,75,100,49,29.5,18.9,28.0,33.1,21.8,24.7,0.00,0.00,3
2007-03-04,69,94,43,29.1,19.2,26.1,31.9,21.6,23.9,0.00,0.00,3
2007-03-05,70,97,38,29.4,18.3,26.0,32.1,20.5,23.7,0.00,0.00,3
2007-03-06,67,93,43,29.2,17.3,25.0,31.8,17.6,23.4,0.00,0.00,2
2007-03-07,69,89,48,29.5,19.3,26.7,33.1,21.4,24.2,0.00,0.00,2
2007-03-08,67,97,36,30.5,18.4,26.8,33.1,20.9,24.5,0.00,0.00,3
2007-03-09,61,95,32,30.4,17.5,25.2,32.1,17.9,24.0,0.00,0.00,3
2007-03-10,66,95,39,30.0,17.0,25.6,32.4,18.3,23.8,0.00,0.00,3
