latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.4868193,80.37352,129.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,69,85,46,29.1,19.0,25.6,31.5,20.3,23.9,0.00,0.00,3
2007-01-02,73,90,55,27.9,21.4,26.0,30.2,22.4,24.2,0.00,0.00,3
2007-01-03,66,82,46,28.9,20.1,25.2,31.3,21.3,24.0,0.00,0.00,2
2007-01-04,69,85,52,27.2,18.6,23.7,29.4,19.3,22.8,0.00,0.00,3
2007-01-05,69,88,48,28.8,18.5,24.5,30.6,19.6,23.4,0.00,0.00,2
2007-01-06,69,87,50,28.7,19.9,25.3,30.3,21.4,24.2,0.00,0.00,1
2007-01-07,74,89,57,28.0,20.8,25.5,29.0,22.8,24.1,0.00,0.00,3
2007-01-08,80,89,67,27.8,22.1,26.8,29.6,24.0,24.6,0.00,0.00,3
2007-01-09,83,91,70,27.8,23.2,27.6,29.8,26.1,25.0,0.60,0.60,53
2007-01-10,86,90,76,26.5,23.6,27.6,29.4,26.5,24.6,0.30,0.30,51
2007-01-11,85,91,70,28.5,23.5,28.0,32.0,26.7,24.8,0.80,0.80,51
2007-01-12,84,94,70,27.7,22.9,27.6,31.5,26.0,24.7,0.90,0.90,53
2007-01-13,81,91,65,28.3,23.0,27.8,30.5,25.8,25.1,0.00,0.00,3
2007-01-14,82,91,68,28.1,23.4,28.0,30.4,26.4,25.1,0.00,0.00,3
2007-01-15,76,91,57,29.5,22.7,27.8,31.0,25.2,25.6,0.00,0.00,3
2007-01-16,78,92,60,28.8,22.6,27.6,31.3,25.5,25.3,0.10,0.10,51
2007-01-17,73,89,52,30.1,22.3,27.7,32.5,24.9,25.5,0.00,0.00,3
2007-01-18,75,87,60,28.8,21.6,27.0,30.3,23.7,25.0,0.00,0.00,3
2007-01-19,74,91,56,28.9,22.4,27.0,30.6,24.4,25.1,0.00,0.00,3
2007-01-20,73,91,51,29.1,20.7,25.9,30.4,22.5,24.5,0.00,0.00,3
2007-01-21,70,91,43,30.0,20.4,25.8,32.2,21.9,24.4,0.00,0.00,3
2007-01-22,71,88,49,28.5,20.1,25.0,29.3,21.5,23.9,0.00,0.00,3
2007-01-23,68,87,43,30.1,19.7,25.6,31.9,21.0,24.3,0.00,0.00,2
2007-01-24,68,87,45,29.9,20.6,25.8,31.0,22.1,24.7,0.00,0.00,2
2007-01-25,73,84,57,29.0,21.6,26.6,30.4,23.2,25.0,0.00,0.00,3
2007-01-26,87,97,70,27.1,22.6,26.7,29.3,25.3,23.9,9.70,9.70,63
2007-01-27,89,97,75,27.4,22.3,27.7,31.1,25.9,24.2,6.30,6.30,55
2007-01-28,81,91,63,29.1,23.1,28.3,32.4,26.2,25.4,0.10,0.10,51
2007-01-29,76,89,58,29.6,23.4,28.5,32.0,26.5,25.9,0.00,0.00,3
2007-01-30,74,90,54,29.9,23.2,28.0,32.4,25.0,25.8,0.00,0.00,3
2007-01-31,73,87,52,30.2,23.0,27.9,33.2,25.3,25.8,0.00,0.00,2
2007-02-01,69,90,48,29.7,22.6,27.0,31.7,23.9,25.5,0.00,0.00,3
2007-02-02,75,86,59,29.3,21.9,27.1,32.2,24.2,25.0,0.00,0.00,3
2007-02-03,77,88,57,29.5,21.4,27.5,32.8,23.6,24.8,0.00,0.00,3
2007-02-04,73,92,49,30.4,21.2,28.2,33.6,23.8,25.6,0.00,0.00,3
2007-02-05,70,94,42,31.3,20.7,27.8,34.0,23.0,25.6,0.00,0.00,2
