latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.4868193,80.60272,362.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,76,91,56,27.0,16.8,23.9,29.8,17.4,22.1,0.00,0.00,3
2007-01-02,80,95,65,25.9,19.5,24.7,27.9,21.1,22.7,0.00,0.00,3
2007-01-03,75,92,55,27.1,18.6,24.1,30.3,19.6,22.3,0.00,0.00,3
2007-01-04,78,91,62,25.4,16.9,22.4,28.1,17.6,21.1,0.00,0.00,3
2007-01-05,77,93,57,26.9,16.8,23.3,29.2,17.8,21.8,0.00,0.00,2
2007-01-06,78,94,60,26.6,18.0,24.0,28.3,19.3,22.5,0.00,0.00,2
2007-01-07,82,94,67,26.1,20.0,24.6,27.8,22.3,22.6,0.00,0.00,3
2007-01-08,87,95,77,25.9,21.0,26.0,28.6,23.3,23.3,1.00,1.00,51
2007-01-09,91,96,82,25.9,22.3,26.8,29.1,25.5,23.7,5.00,5.00,55
2007-01-10,93,97,84,25.0,22.5,26.7,28.4,25.9,23.3,3.40,3.40,51
2007-01-11,92,97,79,26.7,22.6,27.3,30.5,26.3,23.6,6.20,6.20,53
2007-01-12,91,98,80,25.9,22.1,26.7,29.1,25.4,23.4,3.00,3.00,53
2007-01-13,89,96,76,26.4,22.1,26.8,29.2,25.2,23.8,0.90,0.90,51
2007-01-14,90,97,80,26.4,22.5,27.3,29.7,25.9,23.9,0.10,0.10,51
2007-01-15,84,96,68,27.5,21.9,26.9,29.9,24.8,24.2,0.00,0.00,3
2007-01-16,86,97,72,26.9,22.0,26.8,29.8,25.3,23.9,0.50,0.50,51
2007-01-17,82,95,66,27.6,21.5,26.6,30.3,24.3,24.1,0.00,0.00,3
2007-01-18,84,93,72,26.8,20.3,26.0,29.1,22.6,23.5,0.00,0.00,3
2007-01-19,82,96,67,27.0,20.9,26.2,29.0,23.3,23.7,0.00,0.00,3
