latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.6977153,81.65106,10.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,70,82,51,28.6,22.9,27.8,31.2,25.3,25.3,0.00,0.00,3
2007-01-02,72,85,60,26.9,23.2,26.9,28.2,25.1,24.9,0.00,0.00,3
2007-01-03,70,86,58,26.9,21.6,26.0,29.4,24.3,24.2,0.00,0.00,3
2007-01-04,71,82,59,25.9,22.0,25.7,26.7,24.4,24.0,0.00,0.00,3
2007-01-05,73,89,55,27.6,21.3,26.7,28.7,24.2,24.6,0.00,0.00,3
2007-01-06,71,87,56,27.8,22.7,27.5,29.2,26.3,25.2,0.00,0.00,3
2007-01-07,78,90,67,27.0,23.0,27.5,28.9,26.8,24.9,1.20,1.20,51
2007-01-08,87,96,80,27.0,23.7,28.6,30.8,27.3,25.0,8.20,8.20,55
2007-01-09,94,97,85,26.4,23.6,28.5,30.6,27.1,24.7,34.30,34.30,63
2007-01-10,93,96,88,25.9,23.9,28.5,30.3,27.5,24.6,21.90,21.90,63
2007-01-11,93,97,85,26.5,23.6,28.5,31.0,26.8,24.6,24.80,24.80,63
2007-01-12,91,94,85,26.2,23.3,28.2,30.5,26.8,24.5,7.30,7.30,61
2007-01-13,90,97,83,26.5,23.1,28.6,31.2,26.6,24.7,3.00,3.00,51
2007-01-14,87,94,80,27.3,23.7,29.1,31.2,27.6,25.3,3.50,3.50,51
2007-01-15,82,88,71,27.6,24.2,28.8,30.9,27.6,25.6,0.60,0.60,51
2007-01-16,83,89,75,27.1,24.2,28.6,29.8,28.0,25.4,2.40,2.40,51
2007-01-17,80,90,69,27.5,23.9,28.9,30.9,28.0,25.4,0.00,0.00,3
2007-01-18,81,89,72,27.5,23.9,28.9,30.2,28.2,25.4,0.80,0.80,51
2007-01-19,79,88,71,27.0,24.0,28.3,30.3,27.2,25.3,0.20,0.20,51
2007-01-20,77,86,65,27.3,23.6,27.8,29.3,27.0,25.1,0.00,0.00,3
2007-01-21,74,84,60,27.3,22.8,27.7,31.0,26.1,24.8,0.00,0.00,3
2007-01-22,78,90,62,27.1,21.7,27.1,29.4,24.9,24.4,0.00,0.00,3
2007-01-23,77,93,63,27.5,21.6,27.6,30.9,25.0,24.7,0.00,0.00,3
2007-01-24,70,82,57,28.0,23.3,27.8,30.3,26.2,25.5,0.00,0.00,3
2007-01-25,78,87,68,27.6,24.5,28.5,30.2,27.3,25.7,0.50,0.50,51
2007-01-26,94,97,88,24.9,23.4,28.3,29.3,27.3,24.2,30.60,30.60,63
2007-01-27,95,96,91,25.2,23.8,28.0,29.0,27.4,24.2,22.90,22.90,63
2007-01-28,92,97,84,27.1,23.3,28.9,32.2,27.0,24.7,14.40,14.40,61
2007-01-29,89,97,80,27.6,23.6,29.4,32.3,27.6,25.3,2.60,2.60,51
2007-01-30,80,91,67,27.5,24.3,28.7,31.0,27.3,25.6,1.20,1.20,51
2007-01-31,81,89,68,27.9,24.4,28.6,31.0,27.5,25.6,1.30,1.30,51
2007-02-01,73,87,56,28.0,23.9,27.9,30.1,26.0,25.6,0.20,0.20,51
2007-02-02,80,88,73,26.9,23.2,28.5,30.7,26.8,25.2,1.50,1.50,51
