latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.908612,81.01536,56.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,75,91,52,27.9,19.2,25.6,30.2,21.0,23.4,0.00,0.00,3
2007-01-02,74,94,56,27.1,20.8,26.0,28.8,22.5,23.8,0.00,0.00,3
2007-01-03,71,89,51,27.9,19.1,25.0,30.5,21.0,23.2,0.00,0.00,3
2007-01-04,73,89,58,25.9,18.9,24.4,27.0,20.6,22.7,0.00,0.00,3
2007-01-05,75,94,54,27.5,19.7,25.5,28.3,22.3,23.4,0.00,0.00,3
2007-01-06,73,91,54,27.5,20.5,26.2,28.2,23.6,24.1,0.00,0.00,3
2007-01-07,78,91,62,27.2,21.3,26.4,28.8,24.5,23.9,0.30,0.30,51
2007-01-08,86,95,75,26.7,22.0,27.6,30.4,25.1,24.1,2.90,2.90,53
2007-01-09,93,97,85,26.6,22.7,27.9,30.7,26.6,23.9,25.50,25.50,63
2007-01-10,92,96,84,25.7,22.8,27.7,29.3,26.7,24.0,4.10,4.10,55
2007-01-11,91,96,82,27.1,22.9,28.0,31.3,26.3,24.2,6.80,6.80,55
2007-01-12,90,97,82,26.3,22.5,27.5,29.9,26.1,23.9,2.90,2.90,51
2007-01-13,89,97,78,26.5,22.4,28.1,30.2,26.3,24.3,1.90,1.90,53
2007-01-14,85,93,74,27.1,23.0,28.4,30.2,27.0,24.8,1.40,1.40,53
2007-01-15,83,96,63,28.4,22.0,28.2,31.0,26.0,24.8,0.00,0.00,3
2007-01-16,84,96,69,27.6,22.2,27.8,30.4,25.9,24.5,1.60,1.60,51
2007-01-17,80,95,61,28.4,22.4,28.2,31.6,26.2,24.9,0.00,0.00,3
2007-01-18,81,95,66,27.9,21.6,27.7,30.0,25.5,24.5,0.20,0.20,51
2007-01-19,81,94,65,27.6,21.8,27.6,30.9,24.6,24.4,0.20,0.20,51
2007-01-20,80,96,61,27.6,20.5,26.5,29.5,23.9,23.8,0.00,0.00,3
2007-01-21,75,93,56,28.1,20.8,26.7,31.4,23.8,24.0,0.00,0.00,3
2007-01-22,80,98,59,27.2,19.1,25.6,28.9,21.7,23.1,0.00,0.00,3
2007-01-23,79,99,59,28.1,18.6,26.2,31.6,21.5,23.4,0.00,0.00,3
2007-01-24,74,88,55,28.3,21.2,26.7,30.7,23.9,24.3,0.00,0.00,3
2007-01-25,77,89,63,27.9,22.4,27.4,29.9,25.0,24.8,0.50,0.50,51
2007-01-26,91,96,81,25.4,22.5,27.3,28.1,26.5,23.6,26.60,26.60,63
2007-01-27,95,98,87,25.2,22.7,27.4,29.0,26.7,23.4,12.90,12.90,61
2007-01-28,92,97,83,27.3,22.4,28.0,32.1,26.1,24.1,8.70,8.70,63
2007-01-29,88,98,75,27.7,22.4,28.5,32.1,26.5,24.7,3.80,3.80,53
2007-01-30,82,95,65,27.8,22.3,27.7,30.6,25.9,24.6,0.20,0.20,51
2007-01-31,81,94,60,28.5,22.6,28.0,31.3,26.2,24.9,0.30,0.30,51
2007-02-01,76,97,52,28.5,21.9,27.4,30.4,25.0,24.7,0.90,0.90,51
2007-02-02,84,95,75,26.1,21.5,27.1,29.2,24.8,23.8,0.70,0.70,51
2007-02-03,86,95,73,27.4,21.6,27.5,31.3,24.9,23.9,1.70,1.70,51
2007-02-04,85,100,68,27.5,20.1,27.5,32.0,23.7,23.9,1.70,1.70,53
