latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
8.04921,79.84615,4.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,68,86,46,29.9,21.0,27.3,32.3,23.4,25.2,0.00,0.00,3
2007-01-02,66,86,44,29.4,22.4,27.1,31.4,24.1,25.4,0.00,0.00,3
2007-01-03,62,77,43,29.4,21.7,26.4,31.2,23.0,25.1,0.00,0.00,2
2007-01-04,64,78,50,28.1,21.3,25.6,29.8,22.6,24.5,0.00,0.00,3
2007-01-05,64,81,45,29.6,21.5,26.5,30.7,23.5,25.2,0.00,0.00,3
2007-01-06,63,75,47,30.0,23.3,27.4,31.0,25.2,26.1,0.00,0.00,3
2007-01-07,69,83,52,29.2,22.7,27.2,30.4,24.8,25.6,0.00,0.00,3
2007-01-08,75,84,63,28.7,23.2,28.1,30.6,25.4,25.8,0.70,0.70,51
2007-01-09,82,88,71,28.4,24.2,28.6,30.9,27.2,25.7,3.40,3.40,61
2007-01-10,79,88,67,28.1,24.5,28.6,30.6,27.6,26.0,0.40,0.40,51
2007-01-11,77,85,65,28.7,24.7,28.9,31.6,27.1,26.2,2.50,2.50,61
2007-01-12,80,88,68,29.2,24.1,28.8,33.6,27.1,25.8,1.80,1.80,53
2007-01-13,76,89,61,29.2,24.0,28.8,31.3,26.9,26.2,0.10,0.10,51
2007-01-14,78,85,69,28.3,24.5,29.1,31.5,27.2,26.1,0.10,0.10,51
2007-01-15,76,91,56,30.2,23.4,28.8,32.0,26.2,26.3,0.00,0.00,3
2007-01-16,75,89,58,29.7,23.5,28.7,32.2,26.5,26.2,0.50,0.50,51
2007-01-17,73,89,53,30.6,23.0,28.8,33.6,26.0,26.2,0.00,0.00,3
2007-01-18,73,89,56,29.8,22.8,28.1,31.1,25.6,26.0,0.00,0.00,3
2007-01-19,70,85,51,29.9,23.6,28.2,31.5,25.9,26.1,0.00,0.00,3
2007-01-20,68,86,47,30.2,22.2,27.3,30.8,24.4,25.8,0.00,0.00,3
2007-01-21,64,82,45,30.6,22.4,27.4,32.6,24.2,25.9,0.00,0.00,3
2007-01-22,67,86,47,30.2,22.2,27.2,31.2,24.4,25.7,0.00,0.00,3
2007-01-23,67,87,46,30.6,22.3,27.7,32.8,24.6,25.9,0.00,0.00,2
2007-01-24,63,81,42,31.4,22.8,27.8,32.6,24.8,26.5,0.00,0.00,3
2007-01-25,68,82,51,30.3,23.2,28.1,31.3,25.6,26.4,0.10,0.10,51
2007-01-26,78,91,59,29.5,23.6,28.2,31.3,26.2,25.5,17.20,17.20,63
2007-01-27,89,94,82,27.5,23.8,28.3,31.3,27.3,24.9,10.00,10.00,63
2007-01-28,82,91,66,29.6,24.1,28.9,32.7,27.2,26.0,0.20,0.20,51
2007-01-29,77,90,57,30.7,24.1,29.4,33.0,27.5,26.7,0.00,0.00,3
2007-01-30,74,89,56,30.1,24.1,28.9,32.4,26.5,26.5,0.00,0.00,3
2007-01-31,72,88,52,30.5,23.7,28.7,32.9,26.5,26.5,0.00,0.00,3
2007-02-01,68,85,49,30.3,24.3,28.5,32.8,25.8,26.5,0.00,0.00,3
2007-02-02,73,84,59,29.5,22.9,28.2,32.1,25.6,25.9,0.50,0.50,51
2007-02-03,76,93,56,29.9,22.6,28.8,33.4,25.8,25.9,0.30,0.30,51
2007-02-04,74,94,51,30.5,22.6,29.3,33.5,25.8,26.2,0.00,0.00,3
2007-02-05,71,93,46,30.9,22.3,28.6,33.9,24.9,26.2,0.00,0.00,3
2007-02-06,66,84,44,30.6,21.5,27.5,33.1,23.1,25.7,0.00,0.00,0
2007-02-07,67,87,42,31.5,21.7,28.1,33.3,24.3,26.2,0.00,0.00,3
2007-02-08,66,88,39,31.6,22.4,29.1,34.4,25.3,26.6,0.00,0.00,3
2007-02-09,71,93,46,31.7,22.6,29.0,33.8,25.5,26.6,0.00,0.00,2
2007-02-10,72,89,51,31.1,23.8,29.8,34.1,27.0,27.0,0.10,0.10,51
2007-02-11,74,91,53,30.9,24.1,30.7,35.4,27.7,27.2,0.30,0.30,51
2007-02-12,74,91,49,32.0,23.9,31.7,37.6,28.0,27.5,0.00,0.00,1
2007-02-13,78,93,62,30.1,24.4,31.4,35.3,29.2,27.0,0.30,0.30,51
2007-02-14,78,92,59,30.7,24.7,31.6,35.6,29.6,27.1,0.20,0.20,51
2007-02-15,76,92,56,30.4,24.4,30.9,34.8,29.1,26.9,0.00,0.00,2
2007-02-16,75,93,53,30.6,23.7,30.6,35.9,28.2,26.6,0.00,0.00,2
2007-02-17,76,91,59,29.9,24.5,30.9,34.7,28.9,26.7,1.10,1.10,51
2007-02-18,74,94,52,30.9,23.5,31.0,36.1,28.1,26.8,0.90,0.90,51
2007-02-19,65,87,43,32.6,24.5,30.1,34.8,27.7,28.0,0.00,0.00,3
2007-02-20,63,84,42,32.4,24.1,28.9,33.2,26.2,27.5,0.00,0.00,3
2007-02-21,54,71,36,31.7,24.1,27.6,32.5,25.2,27.3,0.00,0.00,3
2007-02-22,54,67,38,31.6,23.5,27.2,31.7,24.6,27.0,0.00,0.00,3
2007-02-23,60,73,44,30.9,23.4,28.1,31.7,24.9,26.9,0.00,0.00,3
2007-02-24,68,80,49,30.9,23.6,29.6,34.8,26.3,26.9,0.60,0.60,51
2007-02-25,87,94,77,26.6,24.2,29.5,30.9,28.5,25.2,14.70,14.70,61
2007-02-26,82,94,61,29.9,23.6,30.1,34.7,27.5,26.0,0.00,0.00,3
2007-02-27,78,92,55,31.9,23.9,31.4,37.7,28.1,27.1,1.30,1.30,53
2007-02-28,77,94,56,31.3,24.3,31.6,36.5,28.7,27.4,0.10,0.10,51
2007-03-01,76,94,51,32.2,23.9,31.9,37.8,28.2,27.5,0.00,0.00,2
2007-03-02,79,94,64,30.1,24.3,31.5,35.4,28.8,27.0,1.70,1.70,53
2007-03-03,81,94,64,31.2,24.5,32.8,39.1,29.4,27.2,0.90,0.90,51
2007-03-04,69,93,38,32.7,23.4,30.6,35.5,27.1,27.5,0.00,0.00,1
2007-03-05,66,91,36,32.6,22.7,29.5,34.9,25.6,27.2,0.00,0.00,0
2007-03-06,66,87,42,32.7,22.9,29.9,35.9,25.4,27.4,0.00,0.00,3
2007-03-07,66,88,37,32.8,22.9,30.4,36.5,25.7,27.3,0.00,0.00,2
2007-03-08,70,86,42,32.8,22.9,31.0,37.9,25.7,27.2,0.00,0.00,3
2007-03-09,62,89,34,33.9,22.7,30.3,36.0,25.4,28.0,0.00,0.00,3
2007-03-10,64,86,40,33.9,23.2,30.7,37.1,25.9,28.2,0.00,0.00,3
2007-03-11,68,89,39,32.5,23.0,30.2,37.3,25.9,26.9,0.00,0.00,3
2007-03-12,68,88,44,32.7,23.4,31.6,37.0,26.9,27.8,0.00,0.00,3
2007-03-13,73,87,51,33.1,24.9,32.2,37.5,28.7,28.1,2.30,2.30,55
2007-03-14,69,89,44,33.7,24.4,32.2,38.1,28.3,28.5,0.00,0.00,2
2007-03-15,70,87,45,33.3,24.5,32.1,38.1,28.0,28.4,0.40,0.40,51
2007-03-16,75,87,51,33.4,25.6,33.0,38.9,30.0,28.2,12.50,12.50,63
2007-03-17,73,92,49,33.5,25.0,33.1,38.4,29.6,28.8,0.00,0.00,1
2007-03-18,70,89,37,33.5,24.4,32.1,37.4,28.3,28.1,0.00,0.00,1
2007-03-19,71,88,44,32.9,23.4,32.0,38.7,27.0,27.6,0.00,0.00,3
2007-03-20,73,92,41,33.4,24.0,32.5,38.2,28.5,27.8,0.00,0.00,0
2007-03-21,72,90,43,32.8,25.2,32.7,38.2,29.9,28.3,0.00,0.00,1
2007-03-22,74,92,50,32.7,25.5,33.8,38.8,31.1,28.6,0.00,0.00,3
