latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
8.541301,81.17799,8.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,65,75,53,27.5,24.3,26.6,28.5,25.6,25.6,0.00,0.00,3
2007-01-02,63,75,53,27.1,24.2,25.7,28.1,24.6,25.2,0.00,0.00,3
2007-01-03,61,68,53,26.7,23.8,25.5,27.7,23.9,25.0,0.00,0.00,3
2007-01-04,63,68,59,25.6,23.3,24.9,26.3,23.5,24.5,0.00,0.00,3
2007-01-05,61,65,54,27.1,24.4,26.0,27.6,25.2,25.5,0.00,0.00,3
2007-01-06,65,71,57,27.3,24.4,26.2,28.2,25.0,25.5,0.00,0.00,3
2007-01-07,70,75,63,26.9,24.1,26.4,28.0,25.5,25.5,0.00,0.00,3
2007-01-08,81,94,74,26.6,24.3,27.5,28.7,26.3,25.5,7.10,7.10,55
2007-01-09,91,94,85,25.8,24.2,27.8,28.8,26.6,25.1,25.80,25.80,63
2007-01-10,81,85,77,26.7,25.1,27.5,28.0,27.1,25.8,4.50,4.50,53
2007-01-11,84,92,77,27.1,24.1,27.8,30.3,26.0,25.5,12.50,12.50,61
2007-01-12,89,93,85,25.9,23.6,27.7,29.5,26.6,24.8,6.60,6.60,53
2007-01-13,83,89,76,26.8,24.3,27.7,28.9,26.2,25.4,3.80,3.80,51
2007-01-14,82,87,76,27.2,24.6,28.3,30.3,27.0,25.7,2.00,2.00,51
2007-01-15,79,84,72,27.1,24.6,27.7,29.8,26.5,25.6,0.90,0.90,51
2007-01-16,78,84,72,26.8,24.6,27.5,28.8,26.7,25.6,1.70,1.70,51
2007-01-17,75,82,69,27.1,24.4,27.9,30.4,26.9,25.5,0.00,0.00,3
2007-01-18,75,79,69,27.1,24.3,27.5,29.2,26.8,25.6,0.00,0.00,3
2007-01-19,75,82,69,26.5,24.4,27.1,28.9,25.8,25.4,0.00,0.00,3
2007-01-20,71,77,65,26.9,24.1,26.5,28.0,25.1,25.3,0.00,0.00,3
2007-01-21,66,71,59,27.1,24.0,26.7,30.1,24.7,25.3,0.00,0.00,3
2007-01-22,70,77,62,26.8,24.1,26.4,27.6,25.1,25.2,0.00,0.00,3
2007-01-23,70,77,63,27.2,23.9,26.9,29.7,25.5,25.4,0.00,0.00,3
2007-01-24,67,73,59,27.6,24.2,26.7,29.4,24.7,25.7,0.00,0.00,3
2007-01-25,74,82,67,27.2,24.6,26.9,29.2,25.3,25.6,0.90,0.90,51
2007-01-26,83,92,77,26.4,24.4,27.4,28.1,26.5,25.2,17.80,17.80,61
2007-01-27,93,96,89,24.9,24.0,27.0,27.6,26.5,24.3,36.10,36.10,63
2007-01-28,90,95,86,26.5,23.9,28.5,30.6,26.9,25.2,7.80,7.80,55
2007-01-29,83,90,75,27.3,24.9,28.5,30.6,27.5,25.9,3.80,3.80,51
2007-01-30,78,87,66,27.3,24.9,27.6,30.1,26.5,25.8,0.70,0.70,51
2007-01-31,77,86,67,27.5,24.5,27.6,30.0,26.2,25.9,1.40,1.40,51
2007-02-01,66,83,55,27.6,24.7,26.7,28.8,25.2,25.9,0.80,0.80,53
2007-02-02,74,79,68,26.7,24.8,27.4,28.5,25.8,25.6,1.80,1.80,51
2007-02-03,83,90,78,26.8,23.8,28.2,30.5,26.6,25.1,3.40,3.40,51
2007-02-04,79,86,71,27.0,24.2,28.4,30.5,27.4,25.4,0.30,0.30,51
2007-02-05,74,83,65,26.8,23.7,27.3,30.5,25.6,25.0,0.00,0.00,3
2007-02-06,66,73,60,26.9,23.2,26.8,30.4,24.2,25.1,0.00,0.00,1
2007-02-07,70,73,66,26.6,24.5,27.2,28.7,26.2,25.6,0.90,0.90,51
2007-02-08,73,86,59,28.1,23.5,28.8,32.0,27.0,25.7,0.00,0.00,3
2007-02-09,82,86,76,26.9,24.2,28.3,30.4,26.9,25.4,1.90,1.90,51
2007-02-10,87,91,79,26.9,24.1,28.6,31.2,26.8,25.3,3.50,3.50,51
2007-02-11,85,94,77,27.4,23.5,29.3,32.4,27.4,25.4,1.90,1.90,51
2007-02-12,81,89,73,28.2,24.7,30.6,33.3,28.9,26.4,0.20,0.20,51
2007-02-13,81,92,68,29.0,24.6,30.9,35.0,28.8,26.7,0.00,0.00,3
2007-02-14,81,92,65,29.4,24.5,31.0,35.5,28.4,26.8,0.00,0.00,1
2007-02-15,80,94,60,30.2,24.4,31.4,36.7,28.6,27.0,0.00,0.00,1
2007-02-16,82,92,73,28.4,24.3,30.7,35.0,28.6,26.3,2.20,2.20,51
2007-02-17,80,91,72,28.5,24.0,30.4,35.2,27.9,26.2,1.30,1.30,51
2007-02-18,79,90,70,28.3,24.1,29.8,32.8,28.1,26.2,0.80,0.80,51
2007-02-19,72,81,65,27.8,25.2,28.3,30.3,27.2,26.5,0.00,0.00,3
2007-02-20,71,78,63,27.6,25.0,27.1,29.2,25.5,26.1,0.50,0.50,51
2007-02-21,57,66,51,27.6,24.9,25.6,27.3,24.5,26.0,0.00,0.00,3
2007-02-22,59,63,54,27.2,24.7,25.5,27.4,24.4,25.9,0.00,0.00,3
2007-02-23,65,70,60,27.7,24.7,27.2,29.3,25.4,26.1,0.00,0.00,3
2007-02-24,75,82,67,27.6,25.2,28.4,30.0,26.9,26.0,3.00,3.00,61
2007-02-25,89,92,83,25.2,24.0,28.2,29.6,27.0,24.7,92.10,92.10,65
2007-02-26,85,94,76,27.9,24.1,30.4,33.0,27.8,25.8,0.70,0.70,51
2007-02-27,84,91,78,28.3,24.9,30.9,34.8,29.6,26.4,1.40,1.40,51
2007-02-28,82,88,75,28.0,25.5,30.2,32.3,29.3,26.6,1.10,1.10,51
2007-03-01,81,87,71,28.3,25.1,30.5,33.8,29.0,26.5,0.00,0.00,2
2007-03-02,79,89,64,29.3,24.6,30.4,34.4,28.3,26.6,0.00,0.00,3
2007-03-03,82,95,71,28.8,24.1,30.6,34.7,28.7,26.4,0.00,0.00,3
2007-03-04,77,85,65,28.2,24.9,29.5,33.0,27.8,26.1,0.00,0.00,2
2007-03-05,76,83,67,27.5,24.3,28.8,32.3,27.5,25.7,0.00,0.00,2
2007-03-06,71,79,63,28.3,24.9,28.8,32.3,27.1,26.2,0.00,0.00,3
2007-03-07,73,82,61,27.9,24.3,29.0,32.6,26.9,25.9,0.00,0.00,2
2007-03-08,73,83,61,28.6,23.6,28.9,33.3,26.6,25.9,0.00,0.00,3
2007-03-09,74,83,63,28.3,24.4,28.9,32.0,27.2,26.1,0.00,0.00,3
2007-03-10,72,79,64,28.3,24.8,29.1,32.5,27.4,26.3,0.00,0.00,3
2007-03-11,72,80,62,28.5,24.4,29.1,33.3,27.0,26.0,0.00,0.00,3
2007-03-12,84,96,77,27.3,23.1,29.9,32.1,27.5,25.7,2.00,2.00,53
2007-03-13,79,88,71,28.6,25.3,30.4,33.1,28.8,26.7,0.60,0.60,51
2007-03-14,74,81,66,29.1,25.6,30.4,33.8,28.8,27.1,0.00,0.00,2
2007-03-15,76,90,66,29.1,25.4,30.7,33.9,28.6,27.2,0.50,0.50,51
2007-03-16,83,92,73,29.2,24.8,31.3,35.2,29.2,26.8,3.70,3.70,53
2007-03-17,80,86,70,29.4,26.0,31.5,34.6,30.1,27.3,0.00,0.00,2
2007-03-18,75,85,60,29.3,25.2,30.8,34.5,29.0,26.8,0.00,0.00,2
2007-03-19,74,91,55,29.5,23.7,29.9,34.7,27.6,26.3,0.00,0.00,3
2007-03-20,72,91,51,30.0,23.2,29.7,35.1,26.7,26.3,0.00,0.00,0
2007-03-21,71,94,48,30.4,22.6,29.4,35.3,25.8,26.4,0.00,0.00,0
2007-03-22,70,88,50,30.2,23.4,29.5,35.2,26.6,26.4,0.00,0.00,2
2007-03-23,70,84,58,29.0,23.4,29.0,33.5,26.5,26.1,0.00,0.00,3
2007-03-24,72,84,54,30.4,23.5,30.1,36.0,26.8,26.6,0.00,0.00,2
2007-03-25,74,94,47,31.8,23.5,31.1,37.8,27.6,27.2,0.00,0.00,1
2007-03-26,73,91,50,31.5,23.8,30.8,36.8,27.5,27.2,0.00,0.00,2
2007-03-27,73,89,54,31.2,24.2,31.0,35.9,27.9,27.4,0.00,0.00,2
2007-03-28,77,97,57,30.6,24.1,31.1,36.5,28.7,26.9,0.00,0.00,3
2007-03-29,73,87,57,30.3,24.6,30.8,35.7,28.4,27.1,0.00,0.00,3
2007-03-30,69,85,54,30.2,24.5,30.9,34.6,28.9,27.4,0.00,0.00,3
2007-03-31,77,86,64,30.2,25.5,32.3,35.8,29.8,27.8,0.70,0.70,51
2007-04-01,80,91,68,30.2,25.2,32.7,36.4,29.9,27.6,0.20,0.20,51
2007-04-02,76,89,61,31.1,25.7,33.1,37.7,30.8,28.2,0.00,0.00,2
2007-04-03,76,89,59,31.5,25.9,33.1,37.3,30.9,28.4,0.00,0.00,1
2007-04-04,73,86,59,31.4,26.5,32.8,36.5,31.1,28.6,0.00,0.00,2
2007-04-05,81,91,72,29.8,25.4,31.6,34.8,29.6,27.4,4.90,4.90,53
2007-04-06,85,91,75,28.7,25.7,31.3,33.8,30.1,27.0,5.50,5.50,55
2007-04-07,84,93,70,29.6,25.0,31.3,34.6,29.4,26.9,10.90,10.90,61
2007-04-08,88,95,77,28.6,24.8,30.3,32.8,28.9,26.1,16.70,16.70,61
2007-04-09,91,94,86,26.7,24.5,29.8,31.8,28.5,25.5,23.60,23.60,61
2007-04-10,91,94,83,27.5,24.5,29.6,31.6,28.0,25.6,29.10,29.10,63
2007-04-11,88,94,82,27.5,24.8,30.8,32.7,29.3,25.8,12.10,12.10,61
2007-04-12,84,94,73,29.2,24.2,31.7,36.5,29.0,26.6,5.70,5.70,61
2007-04-13,83,94,74,29.3,25.0,32.5,35.9,30.9,27.3,1.10,1.10,51
2007-04-14,84,94,70,29.8,25.2,32.6,36.2,31.2,27.3,0.30,0.30,51
2007-04-15,86,93,76,28.9,25.2,32.2,35.8,30.5,26.8,1.40,1.40,53
2007-04-16,83,95,69,29.8,24.7,32.5,36.7,30.0,27.1,1.20,1.20,53
2007-04-17,80,91,64,30.7,25.2,33.3,38.9,29.8,27.9,0.00,0.00,1
2007-04-18,79,89,63,31.3,26.2,33.9,38.9,31.2,28.4,0.60,0.60,51
2007-04-19,82,93,70,30.6,26.4,34.0,37.7,32.2,28.4,0.00,0.00,1
2007-04-20,79,93,64,30.8,26.2,33.3,37.8,31.4,28.3,0.00,0.00,1
2007-04-21,80,90,67,30.8,26.4,33.6,38.6,31.7,28.2,1.40,1.40,61
2007-04-22,81,89,64,31.8,25.5,33.3,39.9,30.0,27.9,3.10,3.10,55
2007-04-23,79,88,62,32.2,25.9,33.8,40.7,30.1,28.5,0.70,0.70,53
