latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
8.752197,80.53448,104.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,74,88,52,27.5,20.6,25.5,28.7,22.8,23.7,0.00,0.00,3
2007-01-02,68,85,47,28.1,20.4,25.0,30.1,22.2,23.6,0.00,0.00,3
2007-01-03,68,85,48,27.8,20.3,24.7,29.2,22.1,23.4,0.00,0.00,3
2007-01-04,70,83,55,26.1,20.2,24.1,26.4,21.6,22.9,0.00,0.00,3
2007-01-05,68,84,50,27.3,21.5,25.5,27.6,23.3,24.2,0.00,0.00,3
2007-01-06,69,80,53,27.5,22.0,25.6,27.5,24.1,24.3,0.00,0.00,3
2007-01-07,74,88,56,27.7,21.0,25.7,28.8,23.4,24.0,0.00,0.00,3
2007-01-08,81,92,68,27.0,22.4,26.7,28.6,24.6,24.3,1.00,1.00,51
2007-01-09,92,94,84,26.2,23.0,27.7,30.7,26.4,24.2,10.30,10.30,63
2007-01-10,82,92,70,27.1,22.9,27.2,28.7,26.1,24.8,0.40,0.40,51
2007-01-11,80,90,69,27.7,23.4,27.5,29.7,25.9,25.1,0.40,0.40,51
2007-01-12,88,95,76,26.9,22.3,27.4,30.7,25.8,24.1,2.50,2.50,53
2007-01-13,80,93,64,28.0,22.4,27.3,29.6,25.4,24.8,0.10,0.10,51
2007-01-14,81,89,69,27.9,23.2,28.0,30.4,26.4,25.1,0.60,0.60,51
2007-01-15,81,94,63,28.2,22.3,27.5,30.2,25.8,24.8,0.00,0.00,3
2007-01-16,81,92,66,27.7,22.3,27.2,29.5,25.5,24.6,0.30,0.30,51
2007-01-17,79,93,57,28.9,21.5,27.3,31.9,24.8,24.5,0.00,0.00,3
2007-01-18,78,93,59,28.4,21.3,26.6,29.9,24.4,24.3,0.00,0.00,3
2007-01-19,76,89,59,27.9,21.9,26.7,30.0,24.5,24.4,0.00,0.00,3
2007-01-20,74,89,54,28.5,20.7,25.9,29.9,22.8,24.1,0.00,0.00,3
2007-01-21,69,82,48,29.1,21.6,26.4,31.6,23.7,24.5,0.00,0.00,3
2007-01-22,75,89,52,28.7,20.5,25.8,30.7,22.6,23.9,0.00,0.00,3
2007-01-23,74,94,50,29.0,20.4,26.3,31.1,23.2,24.2,0.00,0.00,3
2007-01-24,70,86,49,29.2,21.2,26.4,30.8,23.4,24.7,0.00,0.00,3
2007-01-25,72,83,54,28.4,22.6,26.6,29.3,24.5,25.0,0.00,0.00,3
2007-01-26,81,92,66,27.6,22.3,27.1,29.2,24.9,24.5,2.70,2.70,53
2007-01-27,95,97,86,24.9,22.8,26.7,28.6,26.1,23.3,22.10,22.10,63
2007-01-28,90,97,80,27.3,22.8,27.8,30.9,26.2,24.5,5.00,5.00,53
2007-01-29,82,93,62,28.8,23.2,28.3,31.5,26.9,25.4,0.10,0.10,51
2007-01-30,79,93,62,28.0,22.8,27.4,30.3,25.7,24.9,0.20,0.20,51
2007-01-31,77,90,58,28.5,22.6,27.3,30.3,25.4,25.0,0.00,0.00,2
2007-02-01,71,88,51,28.6,22.3,26.7,30.0,24.6,24.9,0.00,0.00,2
2007-02-02,77,93,63,27.5,21.9,26.8,29.1,24.3,24.5,0.30,0.30,51
2007-02-03,85,98,70,27.5,21.1,27.4,30.7,24.5,24.2,3.40,3.40,53
2007-02-04,81,99,56,29.0,20.6,27.5,32.0,23.9,24.5,0.00,0.00,3
2007-02-05,77,95,52,29.1,20.5,26.6,32.4,23.2,24.1,0.00,0.00,3
2007-02-06,72,89,47,29.0,19.8,25.7,31.8,21.4,23.8,0.00,0.00,1
2007-02-07,74,93,50,29.1,20.0,26.2,30.7,22.3,24.2,0.00,0.00,2
2007-02-08,76,96,48,30.0,20.0,27.3,33.0,23.3,24.6,0.00,0.00,3
2007-02-09,83,97,65,27.9,21.2,27.5,31.4,24.9,24.5,1.50,1.50,53
2007-02-10,84,95,64,28.1,22.1,27.9,30.6,25.7,24.7,1.80,1.80,51
2007-02-11,83,98,65,29.2,22.0,28.9,34.2,25.8,25.1,1.70,1.70,51
2007-02-12,82,99,59,30.0,21.7,29.6,34.2,25.5,25.6,1.20,1.20,51
2007-02-13,79,98,54,30.7,22.3,30.2,35.4,26.5,26.1,0.20,0.20,51
2007-02-14,78,96,55,30.9,22.3,30.5,35.8,26.4,26.3,0.00,0.00,1
2007-02-15,75,97,46,31.9,22.7,30.7,35.9,27.2,26.7,0.10,0.10,51
2007-02-16,81,96,57,30.3,22.0,29.8,36.4,26.0,25.5,1.50,1.50,53
2007-02-17,83,96,58,30.2,22.5,29.6,35.2,26.5,25.3,2.50,2.50,55
2007-02-18,80,97,57,30.3,21.5,29.2,34.1,25.3,25.5,1.20,1.20,51
2007-02-19,73,88,55,29.2,23.4,28.2,31.1,26.8,25.8,0.00,0.00,3
2007-02-20,71,87,52,29.2,22.8,27.2,30.7,25.0,25.5,0.00,0.00,2
