latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
9.033392,79.87889,5.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,69,81,55,28.0,23.0,26.4,28.6,25.0,25.2,0.00,0.00,3
2007-01-02,62,78,47,28.3,23.1,25.6,29.2,24.1,25.1,0.00,0.00,3
2007-01-03,61,70,48,28.1,22.9,25.5,29.0,23.9,25.0,0.00,0.00,3
2007-01-04,61,70,53,26.9,22.7,24.7,27.0,22.7,24.6,0.00,0.00,3
2007-01-05,61,70,51,27.9,23.6,26.0,27.5,24.2,25.6,0.00,0.00,3
2007-01-06,65,74,53,28.0,23.9,25.9,27.5,24.8,25.4,0.00,0.00,3
2007-01-07,70,80,57,28.0,23.2,26.0,28.8,24.7,25.3,0.00,0.00,2
2007-01-08,76,86,67,27.7,24.1,26.6,28.5,25.0,25.5,0.20,0.20,51
2007-01-09,84,88,79,27.4,24.4,27.7,30.2,26.5,25.5,1.20,1.20,53
2007-01-10,77,87,66,28.1,24.3,27.3,28.9,26.3,25.9,0.00,0.00,3
2007-01-11,75,81,65,28.2,24.7,27.2,29.7,25.4,26.1,0.00,0.00,3
2007-01-12,80,86,71,27.4,24.2,27.1,29.4,26.3,25.4,1.70,1.70,51
2007-01-13,74,85,60,28.2,24.0,26.8,28.8,25.5,25.7,0.00,0.00,3
2007-01-14,77,87,68,28.0,24.4,27.9,30.2,26.1,25.9,0.10,0.10,51
2007-01-15,78,89,62,28.7,23.8,27.8,30.5,26.1,25.9,0.00,0.00,3
2007-01-16,76,87,62,28.4,24.1,27.6,29.9,26.1,25.8,0.00,0.00,3
2007-01-17,76,88,60,28.8,23.2,27.4,31.3,25.6,25.5,0.00,0.00,3
2007-01-18,73,85,57,28.7,23.1,26.8,29.8,25.5,25.4,0.00,0.00,3
2007-01-19,70,82,55,28.4,23.7,26.6,29.0,24.9,25.5,0.00,0.00,3
2007-01-20,67,80,52,29.0,23.1,26.2,30.1,23.9,25.6,0.00,0.00,3
2007-01-21,64,75,48,29.5,23.8,26.6,31.3,24.3,25.8,0.00,0.00,3
