latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
9.384886,80.38228,19.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,69,80,56,27.2,23.4,26.0,27.6,24.9,25.1,0.00,0.00,3
2007-01-02,62,75,50,27.4,22.9,25.2,28.2,23.7,24.8,0.00,0.00,3
2007-01-03,64,74,51,27.0,23.0,25.4,27.8,23.4,24.7,0.00,0.00,3
2007-01-04,62,70,54,26.5,23.0,24.8,26.4,23.2,24.6,0.00,0.00,3
2007-01-05,62,71,50,27.4,23.5,25.7,27.2,24.7,25.4,0.00,0.00,3
2007-01-06,67,74,56,27.5,23.6,25.6,27.9,24.0,25.0,0.00,0.00,3
2007-01-07,71,83,62,27.1,23.0,25.8,27.8,24.5,25.0,0.30,0.30,51
2007-01-08,78,91,67,27.0,24.0,26.2,27.6,25.1,25.2,4.50,4.50,53
2007-01-09,86,93,75,27.0,23.6,27.0,29.2,25.7,25.2,6.80,6.80,53
2007-01-10,78,85,71,27.1,24.5,26.7,28.1,25.9,25.6,0.20,0.20,51
2007-01-11,76,82,68,27.5,24.5,26.9,29.4,25.1,25.7,0.10,0.10,51
2007-01-12,82,88,78,26.6,24.0,26.9,28.6,26.0,25.1,3.00,3.00,51
2007-01-13,76,85,65,27.3,24.0,26.6,29.1,25.5,25.3,0.00,0.00,3
2007-01-14,79,88,70,27.5,24.5,27.5,29.1,26.2,25.6,0.60,0.60,51
2007-01-15,80,88,69,27.5,24.0,27.3,29.5,25.9,25.4,0.20,0.20,51
2007-01-16,78,86,65,27.9,24.0,27.4,30.2,25.8,25.5,0.00,0.00,3
2007-01-17,78,87,67,27.4,23.2,27.2,30.2,25.8,25.0,0.00,0.00,3
2007-01-18,74,84,63,27.4,23.2,26.6,29.1,25.5,25.1,0.00,0.00,3
2007-01-19,72,83,61,27.1,23.5,26.4,28.3,24.7,25.1,0.00,0.00,3
2007-01-20,69,77,58,27.9,23.5,26.2,29.6,24.0,25.3,0.00,0.00,3
2007-01-21,66,73,56,27.9,23.6,26.2,30.1,24.3,25.3,0.00,0.00,3
2007-01-22,71,82,60,27.8,23.4,26.4,29.8,24.5,25.1,0.00,0.00,3
2007-01-23,72,88,58,28.0,22.6,26.6,29.6,25.0,25.2,0.00,0.00,3
2007-01-24,67,75,58,28.2,24.0,26.5,30.1,24.4,25.8,0.00,0.00,3
2007-01-25,70,76,59,27.6,24.5,26.2,28.5,24.5,25.6,0.00,0.00,3
2007-01-26,75,81,66,27.7,24.1,27.1,28.7,25.4,25.8,0.90,0.90,51
2007-01-27,93,95,87,25.1,23.8,26.5,28.0,25.9,24.1,30.60,30.60,61
2007-01-28,85,94,75,27.6,23.9,27.5,30.0,26.2,25.5,3.60,3.60,53
2007-01-29,82,90,71,28.0,24.5,28.0,30.8,26.8,25.9,1.00,1.00,51
2007-01-30,77,88,66,27.7,24.4,27.4,30.6,25.9,25.7,0.80,0.80,51
2007-01-31,74,83,63,27.8,24.3,27.2,30.0,25.8,25.7,0.00,0.00,2
2007-02-01,67,79,57,27.6,23.8,26.3,29.0,24.8,25.5,0.00,0.00,3
2007-02-02,71,90,59,28.0,23.5,26.9,29.5,25.5,25.7,0.80,0.80,51
2007-02-03,79,91,67,27.8,23.5,27.6,30.2,25.9,25.4,0.80,0.80,51
2007-02-04,80,94,64,28.1,22.9,28.1,31.8,26.0,25.1,0.20,0.20,51
2007-02-05,74,87,60,27.5,22.6,26.7,30.4,24.8,24.7,0.00,0.00,3
2007-02-06,71,82,56,27.8,22.4,26.2,30.4,23.2,24.7,0.00,0.00,2
2007-02-07,72,84,57,28.2,22.6,27.0,30.6,24.6,25.2,0.00,0.00,3
2007-02-08,77,92,56,28.5,22.2,28.0,31.8,25.6,25.3,0.00,0.00,3
2007-02-09,82,89,71,27.4,23.5,27.5,30.4,25.5,25.3,1.60,1.60,51
2007-02-10,85,92,75,27.1,23.5,27.7,30.3,25.9,25.1,3.40,3.40,51
2007-02-11,83,94,70,28.3,23.2,28.8,32.7,26.4,25.5,0.30,0.30,51
2007-02-12,82,96,68,29.3,23.5,30.2,33.8,27.7,26.3,0.20,0.20,51
2007-02-13,80,96,60,29.9,23.6,30.8,35.7,27.8,26.6,0.10,0.10,51
2007-02-14,82,95,65,30.4,24.0,31.2,38.1,27.7,26.6,1.70,1.70,53
2007-02-15,77,96,51,31.4,24.0,31.4,36.7,27.9,27.1,0.00,0.00,2
2007-02-16,82,94,64,29.5,23.8,30.3,35.1,27.7,26.2,1.50,1.50,53
2007-02-17,83,92,66,29.1,24.0,30.1,36.5,27.1,26.0,3.80,3.80,61
2007-02-18,81,94,63,29.3,23.8,29.8,34.0,27.5,26.2,1.80,1.80,53
2007-02-19,74,89,61,28.5,24.6,28.0,30.2,26.7,26.3,0.70,0.70,51
2007-02-20,68,79,59,28.5,24.8,26.8,29.7,25.0,26.3,0.00,0.00,2
2007-02-21,58,68,47,28.3,24.5,25.3,28.5,23.9,25.9,0.00,0.00,3
2007-02-22,57,63,49,27.8,24.4,24.8,27.1,23.7,25.8,0.00,0.00,3
2007-02-23,62,70,51,28.4,24.2,26.1,29.3,24.1,25.8,0.00,0.00,3
