latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
9.66608,80.034874,8.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,67,81,53,27.1,24.2,26.0,26.8,25.4,25.5,0.10,0.10,51
2007-01-02,58,70,50,27.1,24.2,25.1,27.2,23.9,25.4,0.00,0.00,3
2007-01-03,58,64,49,27.1,24.5,25.6,27.4,24.2,25.5,0.00,0.00,3
2007-01-04,58,64,52,26.8,24.0,24.9,26.6,23.6,25.4,0.00,0.00,3
2007-01-05,60,66,50,27.4,24.4,25.7,27.3,24.5,25.8,0.00,0.00,3
2007-01-06,65,70,56,27.1,24.3,25.4,27.1,24.2,25.3,0.00,0.00,3
2007-01-07,70,79,63,26.9,23.8,25.5,27.3,24.9,25.4,0.80,0.80,51
2007-01-08,73,81,64,27.2,24.9,25.9,27.2,25.1,25.8,1.00,1.00,51
2007-01-09,81,86,75,27.1,24.8,26.8,28.4,25.6,25.7,1.40,1.40,51
2007-01-10,76,83,70,27.1,25.0,26.7,27.8,25.9,25.9,0.00,0.00,3
2007-01-11,74,79,67,27.3,25.1,26.4,28.6,25.1,26.0,0.00,0.00,3
2007-01-12,76,80,72,26.8,24.9,26.4,27.4,25.6,25.7,0.20,0.20,51
2007-01-13,72,79,65,26.8,24.5,25.9,27.9,25.2,25.5,0.00,0.00,3
2007-01-14,74,85,67,27.4,25.0,26.8,28.4,25.5,25.8,0.10,0.10,51
2007-01-15,78,87,68,27.2,24.7,27.1,29.0,26.1,25.7,0.00,0.00,2
2007-01-16,76,83,65,27.4,24.7,27.2,29.7,26.1,25.7,0.00,0.00,3
2007-01-17,76,84,68,26.8,24.0,26.7,28.9,25.6,25.2,0.00,0.00,3
2007-01-18,73,81,65,26.7,24.0,26.0,27.7,25.5,25.2,0.00,0.00,3
2007-01-19,69,78,58,27.2,24.1,25.9,27.5,24.5,25.4,0.00,0.00,3
2007-01-20,67,72,60,27.5,24.5,26.0,28.9,24.2,25.8,0.00,0.00,3
2007-01-21,64,70,57,27.4,24.5,25.9,29.0,24.4,25.7,0.00,0.00,3
2007-01-22,71,78,62,27.1,24.2,26.3,28.6,25.0,25.4,0.00,0.00,3
2007-01-23,71,82,61,27.4,23.8,26.7,28.7,25.5,25.5,0.00,0.00,3
2007-01-24,68,72,60,27.7,24.8,26.4,29.2,25.0,26.0,0.00,0.00,3
2007-01-25,70,76,64,27.1,24.8,25.9,27.9,24.6,25.7,0.00,0.00,3
2007-01-26,73,79,67,27.3,24.6,26.7,28.1,25.0,26.0,0.00,0.00,3
2007-01-27,89,92,81,25.9,24.2,26.3,27.2,25.8,24.7,24.70,24.70,61
2007-01-28,83,93,76,27.2,24.2,27.6,29.3,26.0,25.8,3.80,3.80,61
2007-01-29,81,88,73,27.4,24.9,27.7,29.7,26.8,26.0,0.00,0.00,3
2007-01-30,75,85,64,27.4,25.0,27.2,29.6,26.1,26.0,0.00,0.00,3
2007-01-31,73,79,66,27.4,24.9,26.9,29.2,25.7,25.9,0.00,0.00,2
2007-02-01,67,74,60,26.7,24.3,25.9,28.0,24.9,25.5,0.00,0.00,2
2007-02-02,66,81,58,27.7,24.8,26.9,29.0,25.7,26.2,0.00,0.00,2
2007-02-03,75,85,67,27.5,24.2,27.4,29.6,26.3,25.8,0.70,0.70,51
2007-02-04,78,90,67,27.5,23.6,27.8,31.1,25.9,25.5,0.00,0.00,3
2007-02-05,72,80,62,27.0,24.1,26.8,29.5,24.8,25.3,0.00,0.00,1
2007-02-06,69,76,61,27.1,23.7,26.3,29.9,23.9,25.1,0.00,0.00,2
2007-02-07,70,78,60,27.7,23.9,27.2,30.0,25.4,25.6,0.00,0.00,3
2007-02-08,71,80,58,28.0,24.4,28.1,31.5,26.8,26.0,0.00,0.00,3
2007-02-09,82,87,74,26.8,24.0,27.1,29.2,25.6,25.3,2.10,2.10,51
2007-02-10,84,90,78,26.8,24.0,27.3,29.7,25.8,25.2,2.60,2.60,51
2007-02-11,82,89,75,27.5,24.1,28.7,31.7,26.3,25.7,0.10,0.10,51
2007-02-12,81,89,72,28.4,24.8,30.3,33.8,28.3,26.5,0.10,0.10,51
2007-02-13,82,91,71,28.4,24.9,30.8,34.0,28.7,26.6,0.00,0.00,3
2007-02-14,82,91,71,29.0,25.1,31.1,34.7,28.9,27.0,0.30,0.30,51
2007-02-15,77,90,66,28.9,25.4,30.0,32.7,28.4,27.0,0.00,0.00,1
2007-02-16,78,88,66,28.7,25.2,30.8,35.2,28.7,26.8,0.00,0.00,3
2007-02-17,79,87,71,28.1,25.2,30.3,33.2,27.7,26.6,0.70,0.70,51
2007-02-18,80,89,70,28.4,24.3,29.7,33.6,27.8,26.3,3.20,3.20,53
2007-02-19,75,90,63,28.2,24.5,28.0,29.1,26.9,26.5,2.90,2.90,53
2007-02-20,68,76,60,28.0,25.5,26.5,28.8,24.9,26.5,0.00,0.00,1
2007-02-21,59,66,51,27.9,24.8,25.2,28.0,23.8,26.1,0.00,0.00,3
2007-02-22,55,63,49,27.6,25.1,24.5,26.9,23.6,26.0,0.00,0.00,3
2007-02-23,60,65,53,27.7,24.7,25.7,28.4,23.9,25.9,0.00,0.00,3
2007-02-24,67,76,58,28.0,25.1,27.5,29.5,25.7,26.4,0.00,0.00,3
2007-02-25,80,84,75,26.7,25.4,28.9,29.7,28.0,25.9,2.40,2.40,51
2007-02-26,77,87,70,28.2,25.0,29.6,31.6,27.1,26.5,0.00,0.00,3
2007-02-27,80,88,68,29.5,25.6,31.1,35.0,29.3,27.2,0.00,0.00,1
2007-02-28,79,89,68,28.9,25.6,30.2,32.9,29.1,27.0,0.00,0.00,1
2007-03-01,79,90,65,29.4,25.1,31.0,35.3,28.6,27.0,0.00,0.00,1
2007-03-02,79,92,61,30.0,24.7,31.4,35.8,27.9,27.1,0.00,0.00,3
2007-03-03,79,89,66,30.2,25.5,31.6,37.8,29.3,27.5,0.00,0.00,3
2007-03-04,75,87,58,29.7,25.6,30.0,33.9,27.7,27.0,0.00,0.00,2
2007-03-05,72,81,59,29.1,24.9,29.0,33.4,27.3,26.6,0.00,0.00,1
2007-03-06,71,83,56,29.6,24.9,29.2,33.2,27.3,26.8,0.00,0.00,3
2007-03-07,70,82,54,29.4,24.9,29.1,33.2,26.9,26.6,0.00,0.00,2
2007-03-08,70,83,53,29.9,24.1,28.9,34.9,26.0,26.5,0.00,0.00,3
2007-03-09,71,82,55,29.9,24.9,29.0,33.3,27.1,26.9,0.00,0.00,3
2007-03-10,70,80,55,30.0,25.5,29.2,33.6,27.4,27.1,0.00,0.00,3
2007-03-11,72,82,58,28.5,24.7,28.5,32.4,26.6,26.3,0.00,0.00,3
2007-03-12,70,81,54,30.1,25.1,29.8,34.5,26.6,27.2,0.00,0.00,2
2007-03-13,77,88,67,29.4,25.4,29.9,33.5,28.2,27.2,0.10,0.10,51
2007-03-14,70,80,59,29.9,26.0,30.1,34.4,28.7,27.6,0.00,0.00,2
2007-03-15,73,80,63,29.6,26.3,30.3,33.3,28.5,27.6,0.00,0.00,2
2007-03-16,76,85,64,30.4,26.3,31.5,35.8,29.9,28.0,0.00,0.00,2
2007-03-17,79,89,68,30.0,25.9,31.2,34.6,29.4,27.7,0.20,0.20,51
2007-03-18,73,85,56,30.1,25.5,30.7,35.3,28.7,27.4,0.00,0.00,2
2007-03-19,72,89,53,30.4,24.6,30.5,36.4,27.8,27.2,0.00,0.00,3
2007-03-20,70,88,50,30.7,24.2,30.4,36.5,26.5,27.2,0.00,0.00,0
2007-03-21,67,80,51,31.5,24.9,30.8,36.0,26.1,27.9,0.00,0.00,0
2007-03-22,66,77,49,31.0,25.3,30.5,37.5,27.1,27.8,0.00,0.00,2
2007-03-23,69,84,51,30.6,24.8,29.8,35.0,27.5,27.3,0.00,0.00,1
2007-03-24,68,84,50,30.3,24.4,30.4,35.6,27.0,27.2,0.00,0.00,2
2007-03-25,73,86,55,31.3,25.1,32.3,37.1,28.4,27.9,0.00,0.00,0
2007-03-26,72,86,55,32.1,26.1,33.2,38.9,30.0,28.7,0.00,0.00,2
2007-03-27,70,85,47,32.2,25.3,31.5,38.1,28.2,28.3,0.00,0.00,0
2007-03-28,72,90,51,31.7,25.5,31.7,38.0,29.5,28.1,0.00,0.00,1
