District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date
Ampara,0,1/1/2007,1,2007,1,1/8/2007
Ampara,0,1/8/2007,1,2007,2,1/15/2007
Ampara,0,1/15/2007,1,2007,3,1/22/2007
Ampara,0,1/22/2007,1,2007,4,1/29/2007
Ampara,0,1/29/2007,1,2007,5,2/5/2007
Ampara,0,2/5/2007,2,2007,6,2/12/2007
Ampara,0,2/12/2007,2,2007,7,2/19/2007
Ampara,0,2/19/2007,2,2007,8,2/26/2007
Ampara,1,2/26/2007,2,2007,9,3/5/2007
Ampara,0,3/5/2007,3,2007,10,3/12/2007
Ampara,0,3/12/2007,3,2007,11,3/19/2007
Ampara,0,3/19/2007,3,2007,12,3/26/2007
Ampara,0,3/26/2007,3,2007,13,4/2/2007
Ampara,0,4/2/2007,4,2007,14,4/9/2007
Ampara,0,4/9/2007,4,2007,15,4/16/2007
Ampara,0,4/16/2007,4,2007,16,4/23/2007
Ampara,0,4/23/2007,4,2007,17,4/30/2007
Ampara,0,4/30/2007,4,2007,18,5/7/2007
Ampara,0,5/7/2007,5,2007,19,5/14/2007
Ampara,0,5/14/2007,5,2007,20,5/21/2007
Ampara,0,5/21/2007,5,2007,21,5/28/2007
Ampara,0,5/28/2007,5,2007,22,6/4/2007
Ampara,1,6/4/2007,6,2007,23,6/11/2007
Ampara,1,6/11/2007,6,2007,24,6/18/2007
Ampara,1,6/18/2007,6,2007,25,6/25/2007
Ampara,0,6/25/2007,6,2007,26,7/2/2007
Ampara,0,7/2/2007,7,2007,27,7/9/2007
Ampara,0,7/9/2007,7,2007,28,7/16/2007
Ampara,0,7/16/2007,7,2007,29,7/23/2007
Ampara,0,7/23/2007,7,2007,30,7/30/2007
Ampara,0,7/30/2007,7,2007,31,8/6/2007
Ampara,0,8/6/2007,8,2007,32,8/13/2007
Ampara,0,8/13/2007,8,2007,33,8/20/2007
Ampara,0,8/20/2007,8,2007,34,8/27/2007
Ampara,0,8/27/2007,8,2007,35,9/3/2007
Ampara,0,9/3/2007,9,2007,36,9/10/2007
Ampara,0,9/10/2007,9,2007,37,9/17/2007
Ampara,0,9/17/2007,9,2007,38,9/24/2007
Ampara,0,9/24/2007,9,2007,39,10/1/2007
Ampara,0,10/1/2007,10,2007,40,10/8/2007
Ampara,0,10/8/2007,10,2007,41,10/15/2007
Ampara,0,10/15/2007,10,2007,42,10/22/2007
Ampara,0,10/22/2007,10,2007,43,10/29/2007
Ampara,0,10/29/2007,10,2007,44,11/5/2007
Ampara,1,11/5/2007,11,2007,45,11/12/2007
Ampara,1,11/12/2007,11,2007,46,11/19/2007
Ampara,0,11/19/2007,11,2007,47,11/26/2007
Ampara,0,11/26/2007,11,2007,48,12/3/2007
Ampara,0,12/3/2007,12,2007,49,12/10/2007
Ampara,2,12/10/2007,12,2007,50,12/17/2007
Ampara,0,12/17/2007,12,2007,51,12/24/2007
Ampara,0,12/24/2007,12,2007,52,12/31/2007
Ampara,0,12/31/2007,12,2007,1,1/7/2008
Ampara,0,1/7/2008,1,2008,2,1/14/2008
Ampara,0,1/14/2008,1,2008,3,1/21/2008
Ampara,0,1/21/2008,1,2008,4,1/28/2008
Ampara,2,1/28/2008,1,2008,5,2/4/2008
Ampara,3,2/4/2008,2,2008,6,2/11/2008
Ampara,2,2/11/2008,2,2008,7,2/18/2008
