feature,correlation,mutual_info,rf_importance,xgb_importance,avg_rank
rolling_mean_2,0.36907208532653857,0.14730191948810134,0.09223976016735021,0.12370934,1.75
year,0.3213806196919952,0.15196703134058898,0.10158172277372707,0.07895179,2.75
rolling_mean_4,0.3604582571109832,0.13298511290239468,0.062138900580811625,0.016009346,7.0
percentage_change,0.09743701047706824,0.11463336133520796,0.054466717156130245,0.03678801,7.0
rate_of_change,0.09573188331337018,0.07382460568731508,0.04580440495347356,0.0551754,8.25
cases_lag_4,0.31295558498722814,0.082127241836226,0.02936078184778896,0.021495331,9.5
cases_lag_3,0.3279395369588618,0.100597503631072,0.03597423442220781,0.012903492,12.5
cases_lag_2,0.3395982482481581,0.10662404258837621,0.03611781826052205,0.011524737,12.5
cases_lag_1,0.3481865406657025,0.11535879127227822,0.054712756062593446,0.008943861,12.5
cos_week,0.04127010617432453,0.018146656871334876,0.018363366318299476,0.037025824,12.75
rolling_std_4,0.3028769970418358,0.09854657085688845,0.031691911341177666,0.013555085,13.0
is_ne_monsoon,0.11887979929128321,0.006320618486992169,0.004857130129286411,0.12640913,17.75
tmean,0.019143129669390684,0.003046374870857127,0.01987873438313924,0.034917813,20.5
humidity_anomaly,0.03593048399674125,0.009603699221001794,0.017348104754832575,0.013868503,20.75
temp_lag_1,0.023371758340106377,0.0022813923788140844,0.019196596855852278,0.02818902,21.0
tmax,0.01153916356373292,0.006803514335662397,0.021008973503598094,0.01753537,21.25
humidity,0.018573878895953758,0.004984432552594953,0.01824240343648244,0.024127627,21.25
rainfall_lag_8,0.10741787456580329,0.0075284056011033496,0.015853700237580728,0.012718664,21.5
tmin,0.024441684182083784,0.0017066345373204506,0.02113594135417176,0.019185873,21.75
humidity_lag_3,0.040706863356913515,0.008136774123495227,0.015538037254624352,0.013960884,22.25
temp_lag_2,0.023847458548989856,0.006789680719000879,0.016997576456692833,0.015900208,22.5
rainfall,0.026044791848566687,0.005292994975754084,0.015631558485559558,0.016200824,23.125
temp_lag_4,0.023799550514212856,0.0047098944097032636,0.018701596970310833,0.014670791,23.25
temp_lag_3,0.023523127641833255,0.0025727299343571985,0.017756010849531774,0.020316094,23.25
sin_week,0.0013255533934879936,0.016829934730604457,0.014516502444916876,0.023709424,24.0
rainfall_lag_6,0.07876476417820175,0.010996859257091263,0.015233778185184163,0.009084466,24.25
rainfall_lag_5,0.06329781738626652,0.00911779168225757,0.015044344128428337,0.009782999,24.75
temperature_anomaly,0.07153518440540746,0.0028186777400003304,0.017036031215408882,0.011735733,25.0
month,0.000570398406504541,0.021331745233486243,0.008482695853847155,0.021163702,25.0
is_inter_monsoon,0.10696004706838941,0.003655815099735449,0.0023695662762129527,0.0155115025,25.25
week_of_year,0.009994686559977763,0.01508324978557729,0.014064006768526142,0.018406637,25.5
rainfall_anomaly,0.013045392073716975,0.007710852314899208,0.01698741181757215,0.013169144,26.0
humidity_lag_4,0.054789622061185955,0.0,0.01541793284059495,0.015154294,26.75
humidity_lag_1,7.367162822197747e-05,0.0,0.018129915707818828,0.019214287,28.0
rainfall_lag_4,0.04031559900052761,0.004753450879130261,0.014476595390983555,0.009235613,29.75
precipitation,0.026044791848566687,0.005410755377035503,0.01490353520084541,0.0,29.875
humidity_lag_2,0.02205448825723069,0.0,0.015999323917382055,0.013207602,30.0
is_sw_monsoon,0.0026939848322427816,0.00026691398043521275,0.002317336044988193,0.02557528,30.75
rainfall_lag_3,0.02184432486752389,0.003307594683624293,0.015037542923528976,0.009619905,32.0
rainfall_lag_2,0.002980372345301193,0.002022435890637775,0.01538474272801633,0.011346334,33.5
