district,week_start_date,cases,tmax,tmin,app_tmax,app_tmin,humidity,rainfall,precipitation,year,month,week_of_year,sin_week,cos_week,tmean,rainfall_feat,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_8,temp_lag_1,humidity_lag_1,temp_lag_2,humidity_lag_2,temp_lag_3,humidity_lag_3,temp_lag_4,humidity_lag_4,rolling_mean_2,rolling_mean_4,rolling_std_4,rate_of_change,percentage_change,rainfall_anomaly,temperature_anomaly,humidity_anomaly,is_sw_monsoon,is_ne_monsoon,is_inter_monsoon,monsoon_season,outbreak_label
Ampara,2007-01-01,0,27.057142857142857,21.7,28.65714285714285,23.857142857142858,72.57142857142857,1.7,1.7,2007,1,1,0.120536680255323,0.992708874098054,24.378571428571423,1.7,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,-43.38,-0.8333928571428579,-10.083928571428572,0,1,0,NE,0
Ampara,2007-01-08,0,26.25714285714286,23.32857142857143,30.314285714285717,26.75714285714286,90.57142857142856,85.80000000000001,85.80000000000001,2007,1,2,0.2393156642875577,0.970941817426052,24.792857142857144,85.80000000000001,0.0,,,,,,,,,,24.378571428571423,72.57142857142857,,,,,,,0.0,0.0,0.0,0.0,,40.72000000000001,-0.4191071428571398,7.916071428571428,0,1,0,NE,0
Ampara,2007-01-15,0,27.25714285714286,23.37142857142857,29.67142857142857,26.27142857142857,79.14285714285714,3.1,3.1,2007,1,3,0.3546048870425356,0.9350162426854148,25.31428571428572,3.1,0.0,0.0,,,1.7,,,,,,24.792857142857144,90.57142857142856,24.378571428571423,72.57142857142857,,,,,0.0,0.0,0.0,0.0,,-41.98,0.1023214285714324,-3.512500000000003,0,1,0,NE,0
Ampara,2007-01-22,0,26.6,23.014285714285712,29.67142857142857,25.914285714285715,82.14285714285714,49.8,49.8,2007,1,4,0.4647231720437685,0.8854560256532099,24.807142857142857,49.8,0.0,0.0,0.0,,85.80000000000001,1.7,,,,,25.31428571428572,79.14285714285714,24.792857142857144,90.57142857142856,24.378571428571423,72.57142857142857,,,0.0,0.0,0.0,0.0,,4.719999999999999,-0.4048214285714273,-0.5125000000000028,0,1,0,NE,0
Ampara,2007-01-29,0,27.4,23.185714285714287,30.82857142857143,26.314285714285717,81.0,8.2,8.2,2007,1,5,0.5680647467311558,0.8229838658936564,25.292857142857144,8.2,0.0,0.0,0.0,0.0,3.1,85.80000000000001,1.7,,,,24.807142857142857,82.14285714285714,25.31428571428572,79.14285714285714,24.792857142857144,90.57142857142856,24.378571428571423,72.57142857142857,0.0,0.0,0.0,0.0,,-36.88,0.0808928571428602,-1.6553571428571416,0,1,0,NE,0
Ampara,2007-02-05,0,27.77142857142857,21.571428571428573,31.557142857142853,24.885714285714283,79.85714285714286,9.1,9.1,2007,2,6,0.6631226582407952,0.7485107481711011,24.67142857142857,9.1,0.0,0.0,0.0,0.0,49.8,3.1,85.80000000000001,1.7,,,25.292857142857144,81.0,24.807142857142857,82.14285714285714,25.31428571428572,79.14285714285714,24.792857142857144,90.57142857142856,0.0,0.0,0.0,0.0,,-12.468493150684932,-1.1924657534246563,-1.7847358121330783,0,1,0,NE,0
Ampara,2007-02-12,0,29.17142857142857,23.357142857142858,34.74285714285714,27.61428571428572,81.28571428571429,5.3,5.3,2007,2,7,0.7485107481711011,0.6631226582407953,26.264285714285712,5.3,0.0,0.0,0.0,0.0,8.2,49.8,3.1,85.80000000000001,1.7,,24.67142857142857,79.85714285714286,25.292857142857144,81.0,24.807142857142857,82.14285714285714,25.31428571428572,79.14285714285714,0.0,0.0,0.0,0.0,,-16.268493150684932,0.4003913894324853,-0.3561643835616479,0,1,0,NE,0
Ampara,2007-02-19,0,27.8,23.514285714285712,30.2,26.4,75.14285714285714,8.2,8.2,2007,2,8,0.8229838658936564,0.5680647467311559,25.65714285714286,8.2,0.0,0.0,0.0,0.0,9.1,8.2,49.8,3.1,85.80000000000001,,26.264285714285712,81.28571428571429,24.67142857142857,79.85714285714286,25.292857142857144,81.0,24.807142857142857,82.14285714285714,0.0,0.0,0.0,0.0,,-13.368493150684934,-0.2067514677103687,-6.499021526418801,0,1,0,NE,0
Ampara,2007-02-26,1,29.457142857142856,23.15714285714285,34.91428571428572,27.342857142857145,80.71428571428571,3.9,3.9,2007,2,9,0.8854560256532099,0.4647231720437686,26.307142857142857,3.9,0.0,0.0,0.0,0.0,5.3,9.1,8.2,49.8,3.1,1.7,25.65714285714286,75.14285714285714,26.264285714285712,81.28571428571429,24.67142857142857,79.85714285714286,25.292857142857144,81.0,0.5,0.25,0.5,1.0,inf,-17.668493150684935,0.4432485322896298,-0.9275929549902316,0,1,0,NE,0
Ampara,2007-03-05,0,29.37142857142857,21.814285714285717,33.81428571428571,24.914285714285715,73.71428571428571,0.0,0.0,2007,3,10,0.9350162426854148,0.3546048870425355,25.59285714285714,0.0,1.0,0.0,0.0,0.0,8.2,5.3,9.1,8.2,49.8,85.80000000000001,26.307142857142857,80.71428571428571,25.65714285714286,75.14285714285714,26.264285714285712,81.28571428571429,24.67142857142857,79.85714285714286,0.5,0.25,0.5,-1.0,-1.0,-18.21392405063291,-1.4967450271247775,-6.96383363471972,0,0,1,Inter,0
